,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility,Beta,Res_Mom_1Y,Res_Mom_6m,Total_Mom_6m
0,2,AAK,Food Processing,51.39,-28.497,1.275,8528.0,30661.0,0.14941000000000002,43229.73,26.055,0.11993999999999999,-1517.0,12698.0,-0.10252,-0.09622,-0.13197,Sweden,Large Cap,AAK,21.996,2022-04-27,AAK.ST,0.014950000000000001,28.351,1.106,3.404,0.33354999999999996,2022-07-15,Q1-2022,Food and Beverage,-0.11946763269806268,0.2781383516519357,-0.012160728605315363,-0.4539467975936576,0.21858351924633723,0.21446500484301342,0.2455241875703499,0.6880124750069769,7.418320338817457,7.996129049949174,-0.13387009749714696
1,3,ABB,Industrial Machinery,240.184,14.555,0.563,79632.0,355076.406,0.30094,554451.125,25.235,0.34536,38094.0,111274.797,-0.04694,-0.15534,-0.060309999999999996,Sweden,Large Cap,ABB,11.903,2022-04-21,ABB.ST,0.026600000000000002,13.809,2.775,4.983,0.04162,2022-07-15,Q1-2022,Industrials,0.34234167149278194,0.22426722433368326,0.018309595519226396,0.6547839985989569,0.2318074836457035,0.22465411879521924,0.25628331660642667,0.9144261971152724,3.4015405221603263,7.170433630788492,-0.12407049243653512
2,1323,AcadeMedia,Education,10.076,2.074,0.775,11542.0,18274.0,0.09078,4788.191,36.241,0.10997,2309.0,5647.0,-0.19609000000000001,-0.14604,-0.4239,Sweden,Mid Cap,ACAD,5.009,2022-05-05,ACAD.ST,0.03867,7.711,0.338,0.848,0.04951,2022-07-15,Q3-2022,Industrials,0.40888967593412434,0.6316077487140199,-0.10656527012629624,-2.4533182446072708,0.3553114890249617,0.32494440368070526,0.39810849479525495,0.6685088170172695,-16.243437893279904,1.6802078645241991,-0.19117273520414357
3,2198,Acast,Online Services,2.021,-11.175,0.629,408.651,1791.88,-1.3030099999999998,2336.014,63.806,-0.22495,-209.042,1441.964,-0.32280000000000003,-0.38232999999999995,-0.5966,Sweden,First North,ACAST,-4.288,2022-05-17,ACAST.ST,,-7.331,2.074,1.62,1.77726,2022-07-15,Q1-2022,Technology,-0.14497033213034446,0.2280571243610063,-0.0050407698426879755,-0.07545656387406503,0.6455568538872989,0.6064420831554564,0.6122650748719776,,-2.4232254533250805,-2.4859227017496597,-0.5305316227302791
4,1572,Acconeer,Measuring & Analysis,2.436,-19.023,0.168,27.989,201.113,-0.98277,1148.075,72.466,-0.28632,-60.352,185.606,-0.31122,-0.40921,-0.35882,Sweden,First North,ACCON,-19.16,2022-04-22,ACCON.ST,,-21.038,34.034,6.186,0.69293,2022-07-15,Q1-2022,Industrials,-0.3251619020936823,0.1391705160780258,-0.06432545218522823,-0.7531419481119406,0.6815363856330998,0.6742093062491028,0.7827906930162333,1.0636371467725714,-11.775130517894214,-10.328912270314568,-0.441098149994396
5,2107,ACQ Bure SPAC,Investment Banking,1.461,-115.425,,,3439.2,-0.00291,3255.0,10.004,-0.00265,-28.2,3437.3,-0.06061,-0.09356999999999999,-0.10232,Sweden,Mid Cap,ACQ SPAC,-324.022,2022-04-12,ACQ-SPAC.ST,,-357.692,,0.947,-0.00839,2022-07-15,Q1-2022,Financials,-0.008204113693887644,,0.009235838915203076,0.7704306706027942,0.10508750778366181,0.09650859545014852,0.10987083601493222,,-2.4232254533250805,-2.4859227017496597,-0.09046454767726164
6,1326,Acuvi,Electrical Components,1.089,556.207,0.172,-20.574,520.652,-0.19097999999999998,784.252,49.556,-0.18989,1.41,374.907,-0.18782,-0.29392,-0.5403199999999999,Sweden,First North,ACUVI,-11.243,2022-04-20,ACUVI.ST,,-10.773,8.733,2.092,9.38687,2022-07-15,Q1-2022,Industrials,0.0037609327113124055,-0.03951583783410032,0.05725437742849926,0.9791599153619633,0.5298800764059474,0.48237919684319064,0.5359135199824402,1.127209194246171,-11.763639468905488,-4.0947408740289015,-0.4194444373801902
7,1015,AddLife,Biotechnology,68.419,-115.134,0.681,3252.0,12693.0,0.16252,18306.279,55.009,0.13543,-159.0,4541.0,-0.41464,-0.49899,-0.495,Sweden,Large Cap,ALIF B,25.715,2022-07-15,ALIF-B.ST,0.013380000000000001,29.594,2.119,4.031,0.24478000000000003,2022-07-15,Q2-2022,Health Care,-0.03501431402774719,0.2562042070432522,-0.05813982636267456,-0.9342501218434538,0.6363399709046045,0.5647695043297908,0.5703615101977781,1.0924336673635042,-14.437107895955217,-17.18058282807243,-0.5666138397545133
8,7,Addnode,IT Consulting,21.96,86.496,0.871,2671.0,5576.0,0.14321,12282.41,45.508,0.17010999999999998,142.0,1793.0,-0.06598,-0.05389,0.07347000000000001,Sweden,Mid Cap,ANOD B,31.577,2022-07-15,ANOD-B.ST,0.00821,40.032,2.53,6.85,0.35603,2022-07-15,Q2-2022,Technology,0.07919687674288901,0.47901721664275465,0.04674156095448012,0.8832537466078635,0.457896051954108,0.4319401899637307,0.4850174527918398,0.9814325469831466,2.785208234019714,5.313092919903089,-0.03379125989714338
9,8,Addtech,Industrial Components,53.122,-67.519,1.063,4617.0,14234.0,0.19904,40646.301,48.534,0.24036000000000002,-602.0,4826.0,-0.16899,-0.15341,-0.0575,Sweden,Large Cap,ADDT B,27.377,2022-07-15,ADDT-B.ST,0.01208,35.195,2.686,8.422,0.36328000000000005,2022-07-15,Q1-2023,Industrials,-0.12474098632407792,0.32436419839820146,0.026411271744363196,0.4784418780119619,0.462727439425849,0.43735684784279905,0.5059408782170474,1.2901149429092584,1.0476605644705947,-4.146376660917915,-0.2971698113207547
10,1700,Africa Energy,Oil & Gas -Exploration,3.591,-75.18,,-15.73,2315.183,0.08410000000000001,3129.693,47.611,0.08148,-41.63,2299.419,0.11862,0.24098,0.28522,Sweden,First North,AEC,16.343,2022-05-16,AEC.ST,,16.692,,1.361,0.09888,2022-07-15,Q1-2022,Energy,-0.01810457337266501,-0.00679427932910703,0.017284522097347654,0.39876971371576214,0.47987639437779556,0.43115983322510665,0.3972600131748755,1.0245685751439135,14.871484379459838,16.73195646918861,0.32798570225145474
11,258,Africa Oil,Oil & Gas -Exploration,43.489,3.124,0.22,2094.192,9264.42,0.24053000000000002,7808.317,73.736,0.2003,2499.336,8869.932,-0.02328,0.15946,0.7918999999999999,Sweden,Mid Cap,AOI,3.438,2022-05-13,AOI.ST,0.01369,4.359,3.829,0.88,0.10051,2022-07-15,Q1-2022,Energy,0.2817762300770738,0.2260467465853232,-0.05301688537569471,-0.5987551961977865,0.5886817082321048,0.541325275427745,0.8115299604503591,0.811078757389606,18.263906490053255,8.430953667393556,0.2038509579429464
12,241,AFRY,Business Consultants,31.488,47.811,0.801,8365.0,26917.0,0.08141,17259.609,39.679,0.08358,361.0,11317.0,-0.16812000000000002,-0.32025,-0.46619,Sweden,Large Cap,AFRY,14.887,2022-07-14,AFRY.ST,0.03609,18.252,0.8,1.525,0.10401999999999999,2022-07-15,Q2-2022,Industrials,0.03189891313952461,0.310770145261359,0.013098235756863197,0.3110413438970274,0.3333373877280716,0.3199241498634945,0.38595291593180675,1.1364151772128186,-13.38019291674832,-4.615183160581579,-0.3991521088721518
13,1876,Akelius D,Real Estate,1.845,3.443,0.025,154.0,12185.0,0.01157,5984.313,28.112,-0.00875,1738.0,7087.0,0.02934,0.02693,0.08930999999999999,Sweden,First North,AKEL D,77.548,2022-05-02,AKEL-D,0.05701,-96.906,19.75,0.844,-0.045739999999999996,2022-07-15,Q1-2022,Financials,0.24523775927755045,0.012638489946655724,-0.005216941198739333,-0.09690139610220966,0.28112,0.4235863192234232,0.49343000000000004,,-2.4232254533250805,-2.4859227017496597,-0.9732257269988491
14,1358,Alcadon Group,Electrical Components,1.535,-133.559,0.944,76.8,817.3,0.12902,1442.438,51.981,0.09791,-10.8,478.7,-0.06489,-0.26205,0.7209300000000001,Sweden,First North,ALCA,22.63,2022-04-22,ALCA.ST,0.0068000000000000005,30.421,1.869,3.013,0.34027999999999997,2022-07-15,Q1-2022,Industrials,-0.022561102987257158,0.09396794322770097,0.08865102016505377,1.4991514945778202,0.5241972790176478,0.4749407654829857,0.5419732586209649,0.6026107873912909,13.132154072196016,-7.849122672362169,-0.20463714645981168
15,10,Alfa Laval,Industrial Components,246.817,4481.943,0.576,15219.0,73874.0,0.14484,107566.602,41.081,0.13368,24.0,33930.0,-0.15835000000000002,-0.22046,-0.16226,Sweden,Large Cap,ALFA,18.813,2022-04-26,ALFA.ST,0.023090000000000003,23.565,2.528,3.17,0.15895,2022-07-15,Q1-2022,Industrials,0.0007073386383731211,0.20601294095351544,-0.09846738662787247,-2.624910092859834,0.34627966274964384,0.30796325040767314,0.34380930145694194,1.137675506222717,4.714240400799605,-1.0668202588118885,-0.29615538527222773
16,2146,Aligro Planet SPAC,Investment Banking,0.585,-225.45,,,1012.165,-0.00393,1152.5,10.854,-0.00633,-5.112,999.684,-0.03556,-0.05144,-0.04948,Sweden,Mid Cap,APAC SPAC A,-293.994,2022-07-14,APAC-SPAC-A.ST,,-182.141,,1.153,,2022-07-15,Q4-2022,Financials,-0.00511361590262523,,0.026690508271527302,2.2466660238658336,0.09499199202464757,0.08815479742750582,0.10888247135251378,,-2.4232254533250805,-2.4859227017496597,-0.05435900565905449
17,739,Alimak,Installation,2.411,9.279,0.648,1311.5,5889.0,0.09907,4435.54,30.205,0.07937,478.0,3969.0,-0.19071000000000002,-0.23457999999999998,-0.39403,Sweden,Mid Cap,ALIG,10.419,2022-04-27,ALIG.ST,0.04029,14.081,1.162,1.118,0.038,2022-07-15,Q1-2022,Industrials,0.12043335852859663,0.2227033452199015,0.008760670464032172,0.24930383487912985,0.2836315611640914,0.26591668931018714,0.3220683352861825,0.8864549375982115,-4.854028767417569,6.729091783092311,-0.2686952882103548
18,1477,Alligo,Industrial Components,1.177,15.371,1.193,3774.0,7578.0,0.08867000000000001,4734.258,73.039,0.12208000000000001,308.0,3078.0,-0.28462,-0.535,-0.50341,Sweden,Mid Cap,ALLIGO B,14.574,2022-07-15,ALLIGO-B.ST,0.01882,12.486,0.524,1.538,-0.08434,2022-07-15,Q2-2022,Industrials,0.10006497725795971,0.49802058590657167,-0.022598333528257353,-0.3768240234727101,0.5888488415627645,0.4741025342098959,0.5496389164296347,0.8968757336733703,-11.700473313093775,-11.155845823542743,-0.5536323224250901
19,364,ALM Equity,Real Estate,0.712,-18.283,0.211,3449.0,13329.0,0.40535,17149.26,30.106,0.48774,-938.0,7217.0,-0.27824000000000004,-0.30444,-0.14029999999999998,Sweden,First North,ALM,5.859,2022-05-19,ALM.ST,0.0017399999999999998,2.084,6.086,2.376,0.37087000000000003,2022-07-15,Q1-2022,Financials,-0.12997090203685743,0.2587590967064296,0.04073386699786097,1.389421794602266,0.3403615358195022,0.3028873996906005,0.26869598503656156,0.4146914406842885,-19.26471541548159,-13.485190167114789,-0.17409002004984842
20,1419,Ambea,Healthcare Facilities,9.17,4.846,0.678,10131.0,17450.0,0.04735,4588.973,36.306,0.05534,947.0,4644.0,-0.02767,-0.13082000000000002,-0.21564,Sweden,Mid Cap,AMBEA,23.808,2022-05-04,AMBEA.ST,0.02371,17.822,0.388,0.988,0.14359,2022-07-15,Q1-2022,Health Care,0.20391903531438416,0.5805730659025788,0.04436490161689777,0.9930981185642278,0.36899910289321686,0.3485891371399388,0.4094369248279955,0.9128912566734873,5.811282613248228,8.718745453545516,-0.18642827035418064
