,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility,Beta,Res_Mom_1Y,Res_Mom_6m,Total_Mom_6m
113,602,Dustin Group,Computer Hardware,11.447,-2.387,1.368,3112.9,15616.0,0.08099,6606.149,42.899,0.09420999999999999,-2767.6,4825.5,-0.27,-0.43575,-0.44034999999999996,Sweden,Mid Cap,DUST,14.582,2022-04-06,DUST.ST,0.03784,14.532,0.309,1.369,0.8808799999999999,2022-06-17,Q2-2022,Technology,-0.5735364210962595,0.19934042008196723,-0.07402820973061441,-1.5259918754328459,0.40385366719459875,0.3862782722523855,0.44461557117580597,0.9057649983663424,-11.11373603856627,-10.986616458111587,-0.43295664550212887
114,67,Eastnine,Real Estate,0.837,-4.57,0.036,213.283,6648.5,0.02987,1901.45,46.019,0.09756000000000001,-416.039,3633.32,-0.20857,-0.42568,-0.33332999999999996,Sweden,Mid Cap,EAST,22.879,2022-05-04,EAST.ST,0.04,5.326,7.917,0.523,0.2379,2022-06-17,Q1-2022,Financials,-0.11450656699657613,0.03207986763931714,0.02330814120547242,0.3935452183039224,0.342139017666416,0.27463085224534506,0.5428160039302505,0.6949763768637003,-9.508208426018738,-11.978765067060106,-0.40285298239054335
115,332,Egetis Therapeutics,Biotechnology,0.571,-5.006,0.083,34.761,534.822,-0.24050999999999997,673.809,66.827,-0.28477,-134.588,499.061,-0.40643,-0.54559,-0.48099,Sweden,Small Cap,EGTX,-5.967,2022-04-26,EGTX.ST,,-3.647,15.111,1.35,-0.37136,2022-06-17,Q1-2022,Health Care,-0.2696824636667662,0.06499545643223353,-0.028456432040898316,-0.41433384984804544,0.5982312045537079,0.5169815844233573,0.6294622265769889,0.5750568073529055,2.91071389186892,-2.244146211449757,-0.47666664918263757
116,68,Elanders,Broadcasting & Publishing,2.75,-26.551,1.02,1755.0,12131.0,0.07478,4327.819,47.8,0.09855,-163.0,3440.0,-0.09467,-0.25638,-0.23171,Sweden,Mid Cap,ELAN B,15.756,2022-04-21,ELAN-B.ST,0.02941,12.766,0.35,1.258,0.34015,2022-06-17,Q1-2022,Consumer Durables,-0.047383720930232555,0.14467067842717005,0.14182849999081937,3.0025055546845896,0.42130989940098423,0.3813172876407966,0.43293164663487127,0.9401485052953283,-6.311711848838356,2.586131081219701,-0.1430617123048038
117,70,Electrolux B,Consumer Electronics,354.485,-7.525,1.122,23002.0,112942.0,0.18111,38385.238,41.385,0.22769999999999999,-5101.0,17872.0,-0.15117,-0.36128,-0.39742,Sweden,Large Cap,ELUX B,8.818,2022-04-29,ELUX-B.ST,0.06785000000000001,9.31,0.303,2.148,0.07379,2022-06-17,Q1-2022,Consumer Durables,-0.28541853178155774,0.20366205663083706,-0.05813308358214664,-1.364944454091831,0.31093784040853867,0.2831332458183312,0.39034446434471354,1.0046621266438245,-5.191900553485833,1.5214384505070895,-0.29290654136970984
118,1930,Electrolux Professional B,Consumer Electronics,18.136,-14.127,0.795,2926.0,10931.0,0.13877,16683.4,43.616,0.15637,-1181.0,3754.0,-0.015269999999999999,0.048780000000000004,-0.034620000000000005,Sweden,Large Cap,EPRO B,26.343,2022-04-27,EPRO-B.ST,0.00861,28.422,1.921,4.444,0.48197,2022-06-17,Q1-2022,Consumer Durables,-0.31459776238678744,0.2676790778519806,0.036489276799682724,0.7340298916981456,0.3773838460268945,0.3658659261053624,0.4556078025702683,1.2366607025004959,-2.42147146180647,0.039794511975079445,-0.15596120677988368
119,71,Elekta,Medical Equipment,96.878,57.262,0.553,5436.0,26303.0,0.14088,25768.1,40.696,0.12943,450.0,8913.0,-0.12663,-0.38281999999999994,-0.41009,Sweden,Large Cap,EKTA B,17.277,2022-05-25,EKTA-B.ST,0.03572,22.24,1.771,2.891,0.058730000000000004,2022-06-17,Q4-2022,Health Care,0.05048805116122518,0.20666844086225905,0.0604219357370559,1.554765215488797,0.33223715539864124,0.2947358114330376,0.3561799445889536,1.0198006286136534,-3.901543365251784,3.2710202714484615,-0.320572716572719
120,596,Eltel,Installation,0.609,4.187,1.336,908.355,6433.39,0.04237,1227.873,44.877,0.011049999999999999,293.29,2306.23,-0.39844999999999997,-0.50256,-0.67463,Sweden,Mid Cap,ELTEL,19.64,2022-05-04,ELTEL.ST,,46.081,0.143,0.532,-0.08657999999999999,2022-06-17,Q1-2022,Industrials,0.1271729185727356,0.14119383404394883,-0.18962507796267147,-4.142176475266935,0.3454330993893841,0.275392691724042,0.4195723087195821,0.24863428382389988,-33.41262885160101,-22.668044240602356,-0.567928695743044
121,1374,Embracer,Gaming,371.606,-2.864,0.182,14966.2,93454.398,-0.05624,96268.68,51.477,-0.09542,-33613.602,44812.199,0.08906,-0.05302,-0.29489,Sweden,First North,EMBRAC B,-29.783,2022-05-19,EMBRAC-B.ST,,-19.576,5.651,2.148,1.7688300000000001,2022-06-17,Q4-2022,Consumer Durables,-0.7500993646841566,0.16014441610334915,0.11922321953821258,2.0094948969151796,0.48102767176669586,0.46606935073234224,0.5437679179667592,0.8444636812515137,-12.940978221016804,4.782258551231656,0.03481582718441589
122,1576,Enad Global 7,Gaming,4.983,-4.915,0.299,1403.5,6074.3,0.03519,1500.952,83.036,0.017159999999999998,-305.4,4726.9,-0.27607,-0.55421,-0.79341,Sweden,First North,EG7,8.307,2022-05-25,EG7.ST,,18.231,0.825,0.318,-0.07496,2022-06-17,Q1-2022,Consumer Durables,-0.06460894032029449,0.23105543025533806,-0.06038093285494095,-1.0340153408295474,0.8907338997629091,0.7336074826881206,0.5351955322400302,0.9920440859972511,-25.593197542877707,-3.171541642723023,-0.3330708350995707
