,Unnamed: 0,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Performance - Perform. 1y.1,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility
115,115,278,Creades,Holding Companies,20.783,-16.054,,,13520.0,0.3261,15700.88,45.25,0.32391,-978.0,12945.0,-0.02528,0.07332,0.31122,Sweden,Large Cap,CRED A,3.61,2022-01-27,CRED-A.ST,0.31122,0.01211,3.745,,1.213,0.62091,2022-01-28,Q4-2021,Financials,-0.075550405561993,,0.0269956072168839,0.5451096866109281,0.4715978496699656,0.4282106830347679,0.4538881496375412
116,116,2205,Creaspac SPAC,Investment Banking,4.817,-1239.506,,-8.0,2466.0,,2510.0,10.96,-0.00325,-2.025,2459.0,-0.00397,0.0224,-0.94076,Sweden,Mid Cap,CPAC SPAC,-5.625,2021-11-17,CPAC-SPAC.ST,,,-313.75,,1.021,,2022-01-28,Q3-2021,Financials,-0.0008235054900366,-0.0032441200324412,-0.0051413442277241,-0.4876028855986457,0.0976373096393177,0.085143917536265,0.0966384727951072
117,117,1382,Crunchfish,Biometric,2.991,-17.675,0.15,1.541,44.823,-5.44457,616.026,105.309,-2.62617,-34.853,11.259,-0.09455,-0.55684,0.18642,Sweden,First North,CFISH,-22.313,2021-11-30,CFISH.ST,0.18642,,-19.099,91.835,54.714,-0.05984,2022-01-28,Q3-2021,Technology,-3.0955679900524027,0.0343796711509716,-0.1970007660541777,-2.565300667403957,1.0737741680693922,0.958964744061852,0.7038324465265478
118,118,2253,CTEK,Electrical Components,29.876,-587.595,0.608,482.5,1458.5,0.11557,7756.253,43.405,0.10757,-13.2,636.8,-0.25071,-0.91048,-0.94076,Sweden,Mid Cap,CTEK,57.818,2021-11-10,CTEK.ST,,,111.969,8.752,12.18,,2022-01-28,Q3-2021,Industrials,-0.0207286432160804,0.3308193349331505,-0.1134285947890867,-1.089241097222113,0.7441742345473177,0.6934692920253664,0.9544170210233436
119,119,58,CTT Systems,Installation,2.795,-600.0,0.452,130.0,318.6,0.0726499999999999,2700.0,30.193,0.05657,-4.5,208.6,0.00233,0.02864,0.4502,Sweden,Mid Cap,CTT,150.473,2021-10-28,CTT.ST,0.4502,0.00807,228.817,18.75,12.943,-0.01636,2022-01-28,Q3-2021,Industrials,-0.0215723873441994,0.4080351537978656,0.0090592329050662,0.3151344938151827,0.3579384510460415,0.3243006327386328,0.2634723988675642
120,120,245,Dedicare,Outsourcing,1.502,12.224,2.524,434.2,452.8,0.5082099999999999,633.223,43.276,0.37985,51.8,159.8,-0.11549,-0.1201,0.4371,Sweden,Small Cap,DEDI,6.977,2021-10-21,DEDI.ST,0.4371,0.03709,10.432,0.554,3.963,0.20298,2022-01-28,Q3-2021,Industrials,0.3241551939924906,0.9589222614840988,-0.0419508698566594,-0.966037412418822,0.3883933029649618,0.3566657613608669,0.3980032949366494
121,121,2080,Desenio,Home Furnishings,10.949,-3.295,0.756,864.7,1650.5,0.1006,2380.714,76.767,0.18671,-722.6,245.3,-0.02766,-0.67124,-0.94076,Sweden,First North,DSNO,25.035,2021-10-27,DSNO.ST,,,51.982,1.907,9.705,,2022-01-28,Q3-2021,Consumer Durables,-2.945780676722381,0.5239018479248713,-0.2455507966304354,-3.629468528247,0.8939352187049852,0.5712942827423051,0.6200660530643399
122,122,62,Diamyd Medical,Biotechnology,6.531,-9.456,0.001,-80.756,332.166,-1.48625,1171.598,106.43,-0.28142,-123.898,293.646,-0.15856,-0.4854699999999999,-0.43593,Sweden,First North,DMYD B,-8.318,2022-01-26,DMYD-B.ST,-0.43593,,-13.29,5771.42,3.99,0.7393000000000001,2022-01-28,Q1-2022,Health Care,-0.4219298066379245,-0.243119404153345,0.1184061274197838,0.953584943661254,0.8079642565177205,0.59656570321154,1.138031897954332
123,123,282,DistIT,Computer Hardware,2.427,-9.038,1.508,535.0,1619.7,0.0767699999999999,1703.73,54.097,0.08087,-188.5,559.4,-0.125,0.33152,1.0082,Sweden,First North,DIST,27.45,2021-10-22,DIST.ST,1.0082,0.01633,33.626,0.698,3.046,0.51416,2022-01-28,Q3-2021,Technology,-0.336968180193064,0.3303080817435327,0.1084563869897405,1.8290286519704888,0.5330758762687515,0.4957769416567958,0.5434683622331021
124,124,63,Diös Fastigheter,Real Estate,28.685,-22.303,0.06,1263.0,27563.0,0.0454199999999999,14362.82,32.466,0.17735,-644.0,10065.0,-0.03524,0.0400399999999999,0.4011099999999999,Sweden,Mid Cap,DIOS,23.904,2021-10-22,DIOS.ST,0.4011099999999999,0.03258,7.609,8.668,1.427,0.1393,2022-01-28,Q3-2021,Financials,-0.0639841033283656,0.0458222980081994,0.0069393506412371,0.2482910292626206,0.2762946482906985,0.2643429979115204,0.2561518205611398
125,125,910,Dometic,Auto & Equipment,120.427,-4.45,0.414,6361.0,52030.0,0.06846,33851.02,32.548,0.07689,-7607.0,22447.0,-0.14245,-0.26142,-0.07386,Sweden,Large Cap,DOM,16.342,2022-01-27,DOM.ST,-0.07386,0.0231199999999999,19.005,1.573,1.508,0.38322,2022-01-28,Q4-2021,Consumer Durables,-0.3388871564128837,0.1222563905439169,0.0482174066790364,1.3593910568931071,0.2996075918992342,0.2849622557837235,0.3250866110979988
126,126,64,Doro,Consumer Electronics,2.125,-4.164,0.991,600.2,1658.0,0.1018,697.935,87.446,0.08834,-167.6,885.2,-0.56231,-0.53053,-0.39468,Sweden,Small Cap,DORO,7.572,2021-10-22,DORO.ST,-0.39468,,8.731,0.425,0.788,-0.00462,2022-01-28,Q3-2021,Consumer Durables,-0.1893357433348395,0.3620024125452352,-0.0054252989799632,-0.1745208296645126,0.7843866904738502,0.3601759858525343,0.2849154830542697
127,127,401,Doxa,Holding Companies,5.291,-146.869,0.068,10.2,203.7,-3.7907,2320.534,83.685,-0.08396,-15.8,198.9,-0.23239,0.55714,4.1658800000000005,Sweden,First North,DOXA,-130.425,2021-10-27,DOXA.ST,4.1658800000000005,,-108.242,166.945,11.667,14.66923,2022-01-28,Q3-2021,Financials,-0.0794369029663147,0.0500736377025036,-0.00200673891335,-0.0163277382627156,1.573056505699626,1.01146969241406,1.126430718385408
128,128,65,Duni,Personal Products,3.902,-132.359,0.756,848.0,6204.0,0.04694,4897.296,37.046,0.03745,-37.0,2697.0,-0.15008,-0.05957,0.01362,Sweden,Mid Cap,DUNI,35.156,2021-10-21,DUNI.ST,0.01362,,48.49,1.044,1.816,0.00845,2022-01-28,Q3-2021,Food and Beverage,-0.0137189469781238,0.1366860090264345,0.0937799191676258,4.24793760678859,0.3219072993988347,0.2808192226802499,0.2023351649825083
129,129,602,Dustin Group,Computer Hardware,26.272,-3.642,1.197,2800.6,15401.2,0.0782,10491.79,40.879,0.0896899999999999,-2881.1,4826.5,-0.1141399999999999,-0.04676,0.222,Sweden,Mid Cap,DUST,20.782,2022-01-12,DUST.ST,0.222,0.02383,24.236,0.569,2.174,0.82765,2022-01-28,Q1-2022,Technology,-0.5969335957733347,0.1818429732748097,0.0293946373839024,0.6923346984621184,0.3771499455954963,0.3232484937638493,0.38912725633058
130,130,67,Eastnine,Real Estate,1.414,-12.293,0.036,207.845,6345.245,0.03056,2997.58,22.25,0.19042,-243.842,3484.135,-0.08967,-0.10904,0.12985,Sweden,Mid Cap,EAST,29.097,2021-11-10,EAST.ST,0.12985,0.02239,4.474,13.259,0.86,0.30286,2022-01-28,Q3-2021,Financials,-0.0699863811247268,0.0327560243930691,-0.0125526412476774,-0.5468361353987308,0.1938236522819185,0.1749588270527488,0.2103863478120841
131,131,460,Ecoclime,Energy & Recycling,0.983,-26.291,0.392,82.665,348.908,-0.07055,583.528,35.718,-0.03902,-22.195,305.739,-0.28524,-0.30901,0.02222,Sweden,First North,ECC B,-39.724,2021-11-11,ECC-B.ST,0.02222,,-48.843,4.267,1.909,0.56067,2022-01-28,Q3-2021,Industrials,-0.0725945986609493,0.2369249200362273,-0.0986356335958725,-2.3742419750429704,0.4679621411070128,0.4016372449473405,0.3807575318137779
132,132,332,Egetis Therapeutics,Biotechnology,2.176,-4.681,0.051,-31.294,777.377,-0.2572,970.606,56.661,-0.27341,-207.348,554.41,0.00513,0.05376,-0.1671399999999999,Sweden,Small Cap,EGTX,-5.445,2021-11-04,EGTX.ST,-0.1671399999999999,,-6.404,24.313,1.751,3.7401,2022-01-28,Q3-2021,Health Care,-0.3739975830161794,-0.0402558861401868,0.0227948207411454,0.3097774564560532,0.504699291037773,0.4202507472288631,0.6744131267283981
133,133,68,Elanders,Broadcasting & Publishing,2.915,5.431,1.21,1615.0,9303.0,0.10326,5735.067,42.514,0.11499,1056.0,3122.0,0.1033999999999999,-0.07102,0.29553,Sweden,Mid Cap,ELAN B,14.639,2021-10-15,ELAN-B.ST,0.29553,0.01911,15.975,0.51,1.837,0.00215,2022-01-28,Q3-2021,Consumer Durables,0.3382447149263293,0.1735999140062345,-0.0094515310327676,-0.2824256230580992,0.3772023624585749,0.3449598775518486,0.3067169042376288
134,134,69,Electra Gruppen,Consumer Electronics,1.184,13.278,3.821,255.9,513.0,0.20483,412.959,56.721,0.13922,31.1,204.0,0.3367,0.26032,0.5691700000000001,Sweden,Small Cap,ELEC,10.934,2021-11-16,ELEC.ST,0.5691700000000001,0.0535299999999999,14.541,0.211,2.024,-0.14486,2022-01-28,Q3-2021,Consumer Durables,0.1524509803921568,0.4988304093567252,-0.0385129832718004,-1.1364038898803202,0.407796830623308,0.3352502352536205,0.3106090407701443
135,135,70,Electrolux B,Consumer Electronics,325.518,213.411,1.167,23984.0,107607.0,0.24438,52072.352,28.293,0.25132,244.0,18604.0,-0.05959,-0.20044,-0.15227,Sweden,Large Cap,ELUX B,8.92,2022-01-28,ELUX-B.ST,-0.15227,0.05069,11.134,0.414,2.799,0.08035,2022-01-28,Q4-2021,Consumer Durables,0.0131154590410664,0.2228851282909104,-0.0592388719213108,-2.1814386472020657,0.2729333598324411,0.2534539918208251,0.2488876916262455
136,136,1930,Electrolux Professional B,Consumer Electronics,20.871,-16.659,0.741,2653.0,10609.0,0.12633,18824.699,36.993,0.13816,-1130.0,3525.0,-0.0253,-0.02166,0.39302,Sweden,Large Cap,EPRO B,34.755,2022-01-28,EPRO-B.ST,0.39302,0.00763,38.654,2.394,5.34,0.45051,2022-01-28,Q4-2021,Consumer Durables,-0.3205673758865248,0.250070694693185,0.0992717959176665,2.4608579488858475,0.3467363419522356,0.3314264268796298,0.3697251353926221
137,137,71,Elekta,Medical Equipment,120.253,35.774,0.585,5341.0,23843.0,0.17423,36132.109,25.817,0.14396,1010.0,8141.0,-0.0530799999999999,-0.2632,-0.22373,Sweden,Large Cap,EKTA B,21.697,2021-11-25,EKTA-B.ST,-0.22373,0.02335,30.706,2.589,4.438,-0.06487,2022-01-28,Q2-2022,Health Care,0.1240633828767964,0.2240070460931929,0.080864967029937,3.4860141908830897,0.2607203165355849,0.2457177634108244,0.2126037429531638
138,138,72,Elos Medtech,Medical Equipment,1.362,182.382,0.634,244.9,1095.6,0.1133,2589.828,119.379,0.1101099999999999,14.2,609.4,-0.10833,0.48611,1.95853,Sweden,Mid Cap,ELOS B,30.014,2021-10-20,ELOS-B.ST,1.95853,0.00467,38.597,3.731,4.25,0.04922,2022-01-28,Q3-2021,Health Care,0.0233016081391532,0.2235304855786783,0.0811400739003067,0.5791863010103496,0.8501900686329186,0.6750550856552934,1.2839755701881566
139,139,596,Eltel,Installation,0.639,6.344,1.302,918.905,6606.41,0.01901,2255.386,26.134,-0.03036,355.535,2284.075,-0.17701,-0.38276,-0.36356,Sweden,Mid Cap,ELTEL,56.104,2021-11-03,ELTEL.ST,-0.36356,,-31.253,0.262,0.987,-0.09404,2022-01-28,Q3-2021,Industrials,0.1556581986143187,0.1390929415522197,-0.1276969827399189,-4.364742226791964,0.2556063809766856,0.2244342025888629,0.2681400453988548
140,140,2105,Embellence,Home Furnishings,1.525,45.185,1.074,350.4,594.7,0.32803,750.07,35.542,0.18692,16.6,270.7,-0.07763,-0.23638,-0.94076,Sweden,First North,EMBELL,11.213,2021-10-25,EMBELL.ST,,,14.824,1.174,2.771,,2022-01-28,Q3-2021,Consumer Durables,0.0613224972294052,0.5892046409954598,-0.1302844819764763,-3.7758050480311622,0.3201867706204922,0.2967527221604348,0.3162443468031432
141,141,1374,Embracer,Gaming,481.574,-13.98,0.211,9972.3,53579.102,-0.02313,94967.289,49.794,-0.03662,-6792.9,37131.5,0.11567,-0.2330999999999999,-0.10633,Sweden,First North,EMBRAC B,-97.079,2021-11-17,EMBRAC-B.ST,-0.10633,,-64.85,8.408,2.558,1.6381899999999998,2022-01-28,Q2-2022,Consumer Durables,-0.1829417071758479,0.1861229402463669,-0.0612982451817936,-1.2877939694187075,0.4725455494391882,0.4403619369931734,0.4362558843792808
142,142,1576,Enad Global 7,Gaming,11.316,-1.368,0.206,734.7,6270.6,0.0095,2639.675,102.198,-0.02275,-1929.5,4435.7,0.09783,-0.54776,-0.69639,Sweden,First North,EG7,51.368,2021-11-25,EG7.ST,-0.69639,,-26.164,2.041,0.595,4.67938,2022-01-28,Q3-2021,Consumer Durables,-0.434993349414974,0.1171658214524925,-0.1160518596382059,-1.2724155209255807,0.8113834039458181,0.6638151813986238,0.835916290844386
143,143,290,Endomines,Mining - Gold & Silver,0.581,-5.139,0.006,-4.147,586.177,-0.4769899999999999,641.768,65.507,-0.5647099999999999,-124.888,442.194,0.0071899999999999,0.09804,0.02941,Sweden,Small Cap,ENDO,-3.11,2021-08-20,ENDO.ST,0.02941,,-2.312,174.157,1.451,-0.02444,2022-01-28,Q2-2021,Materials,-0.2824280745555118,-0.0070746549250482,-0.0819800291530199,-1.3289800871312918,0.5580735247428422,0.4270690544612375,0.5653654147359493
144,144,73,Enea,IT Consulting,5.037,-14.766,0.316,651.3,2984.1,0.09683,5144.37,41.653,0.11363,-348.4,1699.4,0.03254,-0.03644,0.08676,Sweden,Mid Cap,ENEA,26.297,2021-10-26,ENEA.ST,0.08676,,26.623,5.447,3.027,0.3378,2022-01-28,Q3-2021,Technology,-0.2050135341885371,0.2182567608324117,0.0380412834708591,1.06183555860442,0.3869434570925286,0.3613918648146068,0.3283503921597877
145,145,75,EnQuest,Oil & Gas -Exploration,14.105,1.153,0.239,1888.522,36648.371,0.03896,5110.854,57.192,-1.64666,4430.891,370.941,-0.08446,0.00296,0.84857,Sweden,Mid Cap,ENQ,23.392,2021-09-02,ENQ.ST,0.84857,,-7.362,0.582,13.778,-0.00313,2022-01-28,Q2-2021,Energy,11.945002035364114,0.0515308579472741,-0.1054378418137624,-1.6661459101428806,0.5992897284763984,0.5677867762509446,0.579993490705639
146,146,484,Enzymatica,Health Products,1.52,-27.097,0.466,46.65,173.215,-0.38415,761.343,50.719,-0.27979,-28.097,134.285,-0.5268999999999999,-0.51243,-0.7404600000000001,Sweden,First North,ENZY,-22.045,2021-11-02,ENZY.ST,-0.7404600000000001,,-19.783,9.427,5.67,0.15483,2022-01-28,Q3-2021,Food and Beverage,-0.2092340916707004,0.269318477037208,-0.1232981293259173,-2.551911366985196,0.619928136564902,0.4942402836260237,0.4428233817148466
147,147,291,Eolus Vind,Wind Energy,17.456,15.117,1.702,-718.996,1844.35,0.31161,2714.863,55.945,0.04974,179.588,984.948,-0.3161899999999999,-0.44002,-0.48874,Sweden,Mid Cap,EOLU B,18.871,2021-11-18,EOLU-B.ST,-0.48874,0.0183499999999999,55.112,0.865,2.756,-0.11055,2022-01-28,Q3-2021,Utilities,0.182332468313048,-0.3898370699704503,-0.1263537269302016,-2.319308946090625,0.4836374526978666,0.4528897048589024,0.4993086574114429
148,148,1712,Epiroc B,Industrial Machinery,98.266,47.695,0.816,15453.0,48583.0,0.35479,197171.906,29.287,0.27372,4134.0,25729.0,-0.10986,-0.06692,0.11115,Sweden,Large Cap,EPI B,21.775,2022-01-26,EPI-B.ST,0.11115,0.01847,27.758,4.973,7.663,0.10703,2022-01-28,Q4-2021,Industrials,0.1606747250184616,0.3180742234938147,-0.0849422140529538,-2.824455230295622,0.2655335695090338,0.2567956590048654,0.2756312944312886
149,149,293,Episurf Medical,Medical Equipment,3.168,-15.673,0.049,3.0,134.6,-3.47644,998.391,74.785,-0.55132,-63.7,120.8,-0.17873,0.05791,0.3544299999999999,Sweden,Small Cap,EPIS B,-13.515,2021-10-29,EPIS-B.ST,0.3544299999999999,,-12.597,151.271,8.265,-0.01895,2022-01-28,Q3-2021,Health Care,-0.527317880794702,0.0222882615156017,-0.1904352464495228,-2.489458362128479,0.5983624623268767,0.5028754006179416,0.7011034569755701
150,150,1874,EQT,Holding Companies,409.656,-114.57,0.41,12040.7,40087.602,0.29793,338678.906,44.775,0.30887,-2956.1,30312.9,-0.25628,-0.1926,0.3271,Sweden,Large Cap,EQT,37.479,2022-01-19,EQT.ST,0.3271,0.00823,35.582,20.602,11.173,1.31487,2022-01-28,Q4-2021,Financials,-0.0975195378865103,0.3003596972450485,-0.038078765864933,-0.771409673555436,0.4076162023850436,0.3856292233481146,0.4524154490889112
151,151,77,Ericsson B,Communications,787.688,19.645,0.76,100749.0,305614.0,0.25503,376825.812,27.353,0.2119,19182.0,107099.0,0.1977499999999999,0.13611,0.1257,Sweden,Large Cap,ERIC B,9.788,2022-01-25,ERIC-B.ST,0.1257,0.02212,16.579,1.622,3.518,0.12553,2022-01-28,Q4-2021,Technology,0.1791053137751052,0.3296609448520028,0.0943053860835091,3.4753153060610686,0.2568651101949475,0.2242735898514517,0.2487035172987102
