,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility,Beta,Res_Mom_1Y,Res_Mom_6m
0,1398,AAC Clyde Space,Satellite Systems,2.392,-7.169,0.204,127.591,880.341,-0.059160000000000004,410.347,57.718,-0.05817,-57.241,678.809,-0.32114,-0.30456,-0.31571,Sweden,First North,AAC,-8.398,2022-02-17,AAC.ST,,-10.08,1.946,0.605,0.38364,2022-03-03,Q4-2021,Technology,-0.08432563504608807,0.14493361095302842,-0.06641112048921449,-0.9814305467326098,0.5176665523867942,0.45413481918403287,0.6201844595969638,1.477475843932116,3.0163529452376885,1.4483254223885524
1,2,AAK,Food Processing,45.808,-305.384,1.305,7941.0,27166.0,0.14911,43364.549,20.7,0.12146000000000001,-142.0,11783.0,-0.0755,-0.18883,-0.06484,Sweden,Large Cap,AAK,22.586,2022-02-04,AAK.ST,0.0149,29.935,1.217,3.68,0.21941,2022-03-03,Q4-2021,Food and Beverage,-0.012051260290248663,0.29231392181403226,0.021856825249245038,0.9288701322311859,0.18174797178678537,0.1769093201532329,0.2156610546094264,0.4295124718381861,-4.584449781092677,-2.2878336034662436
2,3,ABB,Industrial Machinery,368.358,14.023,0.59,79522.797,338184.0,0.27848,663988.063,23.545,0.28984000000000004,47350.801,130863.602,0.0027900000000000004,0.00685,0.32183,Sweden,Large Cap,ABB,13.807,2022-02-03,ABB.ST,0.02322,16.657,2.731,5.074,-0.02015,2022-03-03,Q4-2021,Industrials,0.3618332391614897,0.2351465385707189,-0.011726487902116722,-0.49890702068901116,0.20858542835775207,0.19347553809648033,0.21542097512767033,0.9373057448624229,3.156317925084525,2.2995486880927714
3,437,Absolent Air Care,Installation,0.94,-26.842,0.862,413.474,1194.979,0.04824,4279.338,35.666,0.01167,-159.428,355.092,-0.24248,-0.19574000000000003,-0.041870000000000004,Sweden,First North,ABSO,126.428,2022-02-24,ABSO.ST,0.00529,1032.505,4.155,12.051,0.060439999999999994,2022-03-03,Q4-2021,Industrials,-0.4489766032464826,0.34600942778073923,0.02175205697259963,0.6321103339714147,0.35898543885966483,0.32507902211623674,0.3153893940371414,0.5607652649766168,-0.13933137589366526,-1.0448316272148779
4,1323,AcadeMedia,Education,15.327,2.186,0.761,11382.0,18330.0,0.09407,5490.449,35.56,0.12074,2512.0,5425.0,-0.0189,-0.3144,-0.41223,Sweden,Mid Cap,ACAD,5.369,2022-02-01,ACAD.ST,0.03372,8.331,0.394,1.012,0.056420000000000005,2022-03-03,Q2-2022,Industrials,0.4630414746543779,0.6209492635024549,0.003969102103709599,0.12099980128915148,0.3691379090244869,0.32273080976777385,0.3006403421736603,0.8785824597161526,-3.622817442077232,0.1492254176432739
5,2198,Acast,Online Services,13.336,-23.689,0.55,373.476,1864.981,-1.36358,3361.224,70.777,-0.20096,-141.889,1494.808,-0.27063,-0.32674,-0.9495399999999999,Sweden,First North,ACAST,-9.221,2022-02-11,ACAST.ST,,-11.19,3.277,2.249,1.7121600000000001,2022-03-03,Q4-2021,Technology,-0.09492122065174927,0.20025726803651084,-0.003922660723904459,-0.043885942480142666,0.6307018758991206,0.5692371312000051,0.8192094633062108,,0.03399046013870462,-0.13734899809306686
6,1572,Acconeer,Measuring & Analysis,7.845,-19.271,0.14,27.544,223.223,-1.19283,1072.566,69.959,-0.25608000000000003,-55.656,199.698,-0.41841,-0.41268,0.33226999999999995,Sweden,First North,ACCON,-17.92,2022-02-18,ACCON.ST,,-19.0,34.425,5.371,0.7379300000000001,2022-03-03,Q4-2021,Industrials,-0.2787008382657813,0.12339230276450007,-0.128069094682418,-1.7502482569936288,0.7135837952236115,0.6972915322207065,0.6706320868729005,1.7380992990630009,0.6945004267567009,-4.255721068035381
7,2107,ACQ Bure SPAC,Investment Banking,4.423,-490.0,,,3442.2,-0.00233,3430.0,11.214,-0.00212,-7.0,3439.8,-0.02244,-0.02778,-0.9495399999999999,Sweden,Mid Cap,ACQ SPAC,-427.479,2022-02-17,ACQ-SPAC.ST,,-470.024,,0.997,172.84848000000002,2022-03-03,Q4-2021,Financials,-0.002035002035002035,,0.037700001516546955,3.3351098367825784,0.11956217294888621,0.10440627408579485,0.10360265124952713,,0.03399046013870462,-0.13734899809306686
8,1015,AddLife,Biotechnology,91.819,-13.496,0.754,2857.0,10596.0,0.18655000000000002,26547.16,68.615,0.16756000000000001,-1967.0,4291.0,-0.30823,-0.37012999999999996,0.19515000000000002,Sweden,Large Cap,ALIF B,30.539,2022-02-04,ALIF-B.ST,0.00923,36.009,3.321,6.187,1.5532499999999998,2022-03-03,Q4-2021,Health Care,-0.45840130505709625,0.26963004907512267,-0.21705556604558052,-3.3679177597955934,0.6151449604040832,0.5227154638740525,0.5906756829333794,1.0779215801708133,0.5016301020838353,-3.4123020897151215
9,7,Addnode,IT Consulting,14.349,332.008,0.943,2309.0,4322.0,0.13997,12948.32,44.108,0.13172,39.0,1693.0,0.07692,-0.02036,0.59091,Sweden,Mid Cap,ANOD B,43.66,2022-02-04,ANOD-B.ST,0.00779,57.885,3.176,7.648,0.13201000000000002,2022-03-03,Q4-2021,Technology,0.02303603071470762,0.534243405830634,0.05203771237512522,1.0350978285054537,0.39303275290311296,0.3435458000600333,0.46076177417098146,1.167697821799375,2.8182176966833614,1.2008506449477878
10,8,Addtech,Industrial Components,61.499,150.374,1.153,4023.0,11321.0,0.20126999999999998,42555.864,49.565,0.23887,283.0,3952.0,-0.22771999999999998,-0.13812,0.23889,Sweden,Large Cap,ADDT B,34.71,2022-02-08,ADDT-B.ST,0.00769,45.081,3.261,10.768,0.20912,2022-03-03,Q3-2022,Industrials,0.07160931174089069,0.3553573005918205,0.012558188795886327,0.23614960567679202,0.40684890436884463,0.37693641478428264,0.48739315556986457,1.4135823874187061,0.35338553347097945,0.5627906663609775
11,2288,Advanced SolTech,Solar Energy,1.258,-6.337,0.067,125.175,1752.905,0.04559,1234.56,110.42,0.03212,-194.818,499.455,-0.46128,-0.81243,-0.9495399999999999,Sweden,First North,ASAB,33.501,2022-02-24,ASAB.ST,,47.718,8.041,2.472,0.39446,2022-03-03,Q4-2021,Utilities,-0.3900611666716722,0.07141003077748082,0.04680996930573078,0.5919598825294119,1.0675901077537004,0.9234295844915399,0.7247458280634844,,0.03399046013870462,-0.13734899809306686
12,420,Advenica,Security & Surveillance,0.584,-13.584,0.798,71.909,126.864,-0.47487,524.167,69.27,-0.43004,-38.586,39.571,0.13944,-0.29557,1.8888900000000002,Sweden,First North,ADVE,-34.257,2022-02-17,ADVE.ST,,-30.806,5.176,13.246,0.26457,2022-03-03,Q4-2021,Technology,-0.9751080336610144,0.5668195863286669,-0.04841748136403545,-0.7050385024561575,0.7585281494030623,0.6875416565194061,0.6294032809182745,0.7360281001358032,3.7466235651792528,-1.193753221348751
13,1700,Africa Energy,Oil & Gas -Exploration,3.163,-12.06,,-21.227,2092.359,-0.01853,2783.22,54.642,-0.01693,-230.785,2078.491,0.17059000000000002,-0.09462999999999999,-0.005,Sweden,First North,AEC,-73.216,2021-11-10,AEC.ST,,-78.968,,1.339,1.3903100000000002,2022-03-03,Q3-2021,Energy,-0.11103488059366146,-0.0101450085764441,-0.03383362588927885,-0.8190525911893872,0.4291309296732115,0.36991721085221396,0.37859632785555103,1.3919802365574119,1.2462126813488739,0.7510540662064382
14,258,Africa Oil,Oil & Gas -Exploration,43.6,5.108,0.226,2041.911,8924.562,0.22576000000000002,8160.244,59.111,0.20117000000000002,1597.446,8532.522,0.27515,0.52566,1.07836,Sweden,Mid Cap,AOI,4.059,2022-02-08,AOI.ST,,4.754,3.996,0.956,0.08909,2022-03-03,Q4-2021,Energy,0.18721850350927893,0.22879677456439879,-0.011082813606692499,-0.18988626228075361,0.46540020720367214,0.4188765283784484,0.5349289796506005,0.7151539261592486,4.181613740321602,2.0249213141346383
15,241,AFRY,Business Consultants,56.373,68.205,0.776,7838.0,25913.0,0.09580999999999999,19438.5,30.406,0.1027,285.0,10992.0,-0.31811,-0.41319,-0.26495,Sweden,Large Cap,AFRY,15.104,2022-02-04,AFRY.ST,0.032029999999999996,17.23,0.967,1.768,0.09754,2022-03-03,Q4-2021,Industrials,0.025927947598253277,0.3024736618685602,-0.045119084495010675,-1.4964336661097886,0.264360398685821,0.24530213154005837,0.27633917181642104,1.575405496364528,-4.580385902389383,-5.153833077128948
