,Unnamed: 0,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility,Beta,Res_Mom_1Y,Res_Mom_6m,Total_Mom_6m
0,0,2,AAK,Food Processing,53.432,-28.608,1.275,8528.0,30661.0,0.14941,43397.785,25.88,0.1199399999999999,-1517.0,12698.0,-0.02949,-0.07342,-0.09826,Sweden,Large Cap,AAK,22.073,2022-04-27,AAK.ST,0.01489,28.461,1.106,3.418,0.3335499999999999,2022-05-30,Q1-2022,Food and Beverage,-0.1194676326980626,0.2781383516519357,-0.0121607286053153,-0.4539467975936576,0.2115856251359351,0.2046521575626567,0.2455241875703499,0.710165837027314,0.5196271770217923,2.1808293593576624,-0.0795768681165218
1,1,3,ABB,Industrial Machinery,286.398,16.482,0.563,79632.0,355076.406,0.30094,627852.658,26.232,0.34536,38094.0,111274.797,-0.04557,-0.02081,0.09944,Sweden,Large Cap,ABB,13.416,2022-04-21,ABB.ST,0.02455,14.964,2.577,5.642,0.04162,2022-05-30,Q1-2022,Industrials,0.3423416714927819,0.2242672243336832,0.0183095955192263,0.6547839985989569,0.2191673474848225,0.2069191212078015,0.2562833166064266,0.92841252169405,7.665381153626937,7.279813527132619,0.0485152827781425
2,2,1323,AcadeMedia,Education,11.21,2.234,0.775,11542.0,18274.0,0.09078,5158.467,39.688,0.10997,2309.0,5647.0,-0.11184,-0.11184,-0.38589,Sweden,Mid Cap,ACAD,5.314,2022-05-05,ACAD.ST,0.03589,8.307,0.364,0.913,0.04951,2022-05-30,Q3-2022,Industrials,0.4088896759341243,0.6316077487140199,-0.1065652701262962,-2.4533182446072708,0.3578304815487148,0.3195333398619623,0.3981084947952549,0.6799505555833382,-16.10921503201777,-3.735813375738779,-0.1591743870319308
3,3,2198,Acast,Online Services,3.33,-12.842,0.629,408.651,1791.88,-1.3030099999999998,2684.54,68.354,-0.22495,-209.042,1441.964,-0.19247,-0.4437,-0.95718,Sweden,First North,ACAST,-5.643,2022-05-17,ACAST.ST,0.0,-8.424,2.383,1.862,1.77726,2022-05-30,Q1-2022,Technology,-0.1449703321303444,0.2280571243610063,-0.0050407698426879,-0.075456563874065,0.6363738902425311,0.5935882508173326,0.6122650748719776,,-2.8079125581979345,-1.2711323979290845,-0.4353383367532955
4,4,1572,Acconeer,Measuring & Analysis,4.803,-22.545,0.168,27.989,201.113,-0.98277,1360.641,70.692,-0.28632,-60.352,185.606,0.14255,-0.31742,0.29975,Sweden,First North,ACCON,-23.166,2022-04-22,ACCON.ST,0.0,-25.526,40.336,7.331,0.69293,2022-05-30,Q1-2022,Industrials,-0.3251619020936823,0.1391705160780258,-0.0643254521852282,-0.7531419481119406,0.689302042404122,0.6722202327675725,0.7827906930162333,1.0382272394658554,3.309085320666622,-9.48459678460458,-0.2703448065396012
5,5,2107,ACQ Bure SPAC,Investment Banking,1.599,-116.667,,,3439.2,-0.00291,3290.0,10.566,-0.00265,-28.2,3437.3,-0.0541399999999999,-0.06931,-0.13364,Sweden,Mid Cap,ACQ SPAC,-327.868,2022-04-12,ACQ-SPAC.ST,0.0,-361.538,,0.957,-0.00839,2022-05-30,Q1-2022,Financials,-0.0082041136938876,,0.009235838915203,0.7704306706027942,0.1042315698800273,0.0939352014973634,0.1098708360149322,,-2.8079125581979345,-1.2711323979290845,-0.0711462170490435
6,6,1326,Acuvi,Electrical Components,2.514,667.093,0.172,-20.574,520.652,-0.1909799999999999,940.602,52.126,-0.18989,1.41,374.907,-0.00529,-0.23732,-0.01571,Sweden,First North,ACUVI,-13.474,2022-04-20,ACUVI.ST,0.0,-12.921,10.474,2.509,9.38687,2022-05-30,Q1-2022,Industrials,0.0037609327113124,-0.0395158378341003,0.0572543774284992,0.9791599153619632,0.6154938514066554,0.5460200800139456,0.5359135199824402,1.1497386212785738,6.96181318768928,-5.860776408394545,-0.3088235768479859
7,7,1015,AddLife,Biotechnology,68.003,-12.928,0.714,3235.0,12372.0,0.18658,30343.11,70.613,0.15777,-2347.0,4551.0,0.14088,-0.28588,0.07646,Sweden,Large Cap,ALIF B,33.87,2022-04-28,ALIF-B.ST,0.00807,42.038,3.434,6.667,1.7444499999999998,2022-05-30,Q1-2022,Health Care,-0.5157108327840035,0.2614775299062399,-0.0717270603059342,-0.8106973523666554,0.6218866745334443,0.5368721431372775,0.8108936886719886,1.0704256697355758,-5.293986888978418,-10.495674331363912,-0.2149123341338995
8,8,7,Addnode,IT Consulting,26.639,-133.781,0.811,2462.0,5388.0,0.1398,14448.307,46.499,0.15177,-108.0,1812.0,0.12608,0.15951,0.32798,Sweden,Mid Cap,ANOD B,40.79,2022-04-29,ANOD-B.ST,0.0069799999999999,52.227,3.309,7.974,0.3254599999999999,2022-05-30,Q1-2022,Technology,-0.0596026490066225,0.4569413511507053,0.0314941034181496,0.6590505640825499,0.4206156690298231,0.3869210403468404,0.4379758419882352,0.9439932636405514,5.013711793552212,7.448086847024721,0.2588412260033703
9,9,8,Addtech,Industrial Components,59.08,-340.585,1.13,4321.0,12427.0,0.22135,45638.436,53.736,0.25217,-134.0,4259.0,0.06561,-0.18786,0.2219,Sweden,Large Cap,ADDT B,33.111,2022-05-17,ADDT-B.ST,0.01076,41.825,3.251,10.716,0.2672899999999999,2022-05-30,Q4-2022,Industrials,-0.031462784691242,0.3477106300796652,-0.0231563570593938,-0.4332711138052176,0.448453817280724,0.4188718565339197,0.489835374032358,1.2836966606956255,6.487363618382223,2.8882144644949275,0.0588607788085937
10,10,2288,Advanced SolTech,Solar Energy,0.697,-3.332,0.072,127.37,1719.031,0.07768,833.857,70.592,-0.0124,-250.228,510.041,-0.27051,-0.62639,-0.95718,Sweden,First North,ASAB,31.544,2022-05-17,ASAB.ST,0.0,-131.863,5.239,1.635,,2022-05-30,Q1-2022,Utilities,-0.4906036965655702,0.074094068111628,-0.0193915575074706,-0.2147745318455491,0.9354841721615784,0.8046999678366646,0.827502957240553,,-2.8079125581979345,-1.2711323979290845,-0.8303204565098654
11,11,420,Advenica,Security & Surveillance,0.746,-30.189,1.023,84.315,111.137,-0.26737,491.177,77.088,-0.22105,-16.27,33.287,0.10744,0.06349,0.57647,Sweden,First North,ADVE,-86.745,2022-04-28,ADVE.ST,0.0,-66.766,4.318,14.756,0.2924299999999999,2022-05-30,Q1-2022,Technology,-0.4887794033706852,0.7586582326317968,-0.1326189355025165,-1.5145268311401885,0.7778607937368032,0.7263755713511024,0.8025428114300539,0.7499582096774642,2.661431859529601,-4.313126525805501,-0.0110701527744003
