,Unnamed: 0,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility,Beta,Res_Mom_1Y,Res_Mom_6m,Total_Mom_6m
0,0,2,AAK,Food Processing,53.911,-27.951,1.275,8528.0,30661.0,0.14941,42402.359,24.783,0.1199399999999999,-1517.0,12698.0,-0.1026,-0.17856,-0.1119999999999999,Sweden,Large Cap,AAK,21.621,2022-04-27,AAK.ST,0.01524,27.808,1.085,3.339,0.3335499999999999,2022-05-13,Q1-2022,Food and Beverage,-0.1194676326980626,0.2781383516519357,-0.0121606841109067,-0.4539450944921399,0.206063564627864,0.1997720998871857,0.2455242103806539,0.7090232584347163,-3.8791296276311935,-1.9518492155617235,-0.1546391752577319
1,1,3,ABB,Industrial Machinery,335.537,15.625,0.563,79632.0,355076.406,0.30094,595207.625,26.093,0.34536,38094.0,111274.797,-0.10607,-0.0547799999999999,0.07952,Sweden,Large Cap,ABB,12.743,2022-04-21,ABB.ST,0.0259,14.186,2.979,5.349,0.04162,2022-05-13,Q1-2022,Industrials,0.3423416714927819,0.2242672243336832,0.0183095955192263,0.6547839985989569,0.2181760852078931,0.2046701976195482,0.2562833166064266,0.9370074614093414,6.164769460559582,5.59293346470012,-0.0587920859787367
2,2,1323,AcadeMedia,Education,11.212,2.228,0.775,11542.0,18274.0,0.09078,5143.656,38.755,0.10997,2309.0,5647.0,-0.0826399999999999,-0.1896699999999999,-0.36642,Sweden,Mid Cap,ACAD,5.302,2022-05-05,ACAD.ST,0.03599,8.283,0.363,0.911,0.04951,2022-05-13,Q3-2022,Industrials,0.4088896759341243,0.6316077487140199,-0.1065652701262962,-2.4533182446072708,0.3812330738525345,0.3295857369925464,0.3981084947952549,0.6800342769715465,-15.461109019606148,0.144879471941144,-0.1459039722367079
3,3,2198,Acast,Online Services,4.305,-16.753,0.55,373.476,1864.981,-1.36358,2377.122,67.39,-0.20096,-141.889,1494.808,-0.3636399999999999,-0.47966,-0.94415,Sweden,First North,ACAST,-4.781,2022-02-11,ACAST.ST,,-8.097,2.318,1.59,1.71216,2022-05-13,Q4-2021,Technology,-0.0949212206517492,0.2002572680365108,-0.0039226607239044,-0.0438859424801426,0.6261921766421433,0.5801496035171179,0.8192094633062108,,-3.3489342748145385,-1.9518492155617235,-0.4192139557953206
4,4,1572,Acconeer,Measuring & Analysis,5.785,-21.565,0.168,27.989,201.113,-0.98277,1301.483,72.985,-0.28632,-60.352,185.606,-0.20189,-0.4950099999999999,0.21053,Sweden,First North,ACCON,-22.051,2022-04-22,ACCON.ST,,-24.416,38.582,7.012,0.69293,2022-05-13,Q1-2022,Industrials,-0.3251619020936823,0.1391705160780258,-0.0643254521852282,-0.7531419481119406,0.7103319497535799,0.6885730945516824,0.7827906930162333,1.028136999136884,2.1578689841652623,-8.059880042351711,-0.3049451050414575
5,5,1326,Acuvi,Electrical Components,2.947,626.24,0.172,-20.574,520.652,-0.1909799999999999,882.998,51.284,-0.18989,1.41,374.907,-0.15388,-0.38844,0.0215899999999999,Sweden,First North,ACUVI,-12.652,2022-04-20,ACUVI.ST,,-12.357,9.833,2.355,9.38687,2022-05-13,Q1-2022,Industrials,0.0037609327113124,-0.0395158378341003,0.0572543774284992,0.9791599153619632,0.6146897228943264,0.5448764247474567,0.5359135199824402,1.1529087261622415,6.281136320674669,-7.624116035581705,-0.3986622149957027
6,6,1015,AddLife,Biotechnology,74.385,-11.134,0.714,3235.0,12372.0,0.18658,26130.83,70.736,0.15777,-2347.0,4551.0,0.00851,-0.358,0.02865,Sweden,Large Cap,ALIF B,29.831,2022-04-28,ALIF-B.ST,0.00937,36.202,2.957,5.742,1.7444499999999998,2022-05-13,Q1-2022,Health Care,-0.5157108327840035,0.2614775299062399,-0.0717270603059342,-0.8106973523666554,0.6236197921764073,0.5371991774388909,0.8108936886719886,1.071813608928819,-5.063788761402699,-13.088649043162487,-0.3504052180939231
7,7,7,Addnode,IT Consulting,31.402,-115.999,0.811,2462.0,5388.0,0.1398,12527.92,46.813,0.15177,-108.0,1812.0,-0.05934,-0.01194,0.25167,Sweden,Mid Cap,ANOD B,35.543,2022-04-29,ANOD-B.ST,0.00805,45.285,2.869,6.914,0.3254599999999999,2022-05-13,Q1-2022,Technology,-0.0596026490066225,0.4569413511507053,0.0314941034181496,0.6590505640825499,0.4187367836947691,0.3831096501250883,0.4379758419882352,0.9441261189462532,3.382763282801802,-1.4434821618814262,-0.0322578087625207
8,8,8,Addtech,Industrial Components,59.914,154.23,1.153,4023.0,11321.0,0.2012699999999999,43647.039,51.194,0.23887,283.0,3952.0,-0.0302999999999999,-0.24528,0.10411,Sweden,Large Cap,ADDT B,35.53,2022-02-08,ADDT-B.ST,0.0075,46.237,3.345,11.044,0.20912,2022-05-13,Q3-2022,Industrials,0.0716093117408906,0.3553573005918205,0.0125581887958863,0.236149605676792,0.4357841511518796,0.4036401614480843,0.4873931555698645,1.2716004781543904,0.6509675126494058,1.652428316032062,-0.036144578313253
9,9,2288,Advanced SolTech,Solar Energy,0.812,-5.052,0.067,125.175,1752.905,0.04559,984.199,71.456,0.03212,-194.818,499.455,-0.30752,-0.5239,-0.94415,Sweden,First North,ASAB,29.374,2022-02-24,ASAB.ST,,37.877,8.387,1.971,0.39446,2022-05-13,Q4-2021,Utilities,-0.3900611666716722,0.0714100307774808,0.0468099693057307,0.5919598825294119,0.9633629585756036,0.835679181041838,0.7247458280634844,,-3.3489342748145385,-1.9518492155617235,-0.8551324570407108
