,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility,Beta,Res_Mom_1Y,Res_Mom_6m
0,1398,AAC Clyde Space,Satellite Systems,1.442,-7.225,0.204,127.591,880.341,-0.059160000000000004,413.588,47.26,-0.05817,-57.241,678.809,-0.19475,-0.23082,-0.13468,Sweden,First North,AAC,-8.482,2022-02-17,AAC.ST,,-10.132,1.962,0.609,0.38364,2022-04-28,Q4-2021,Technology,-0.08432563504608807,0.14493361095302842,-0.06641112048921449,-0.9814305467326098,0.5232101829090756,0.45792970199028565,0.6201844595969638,1.4084790988264082,6.2641645879021715,1.858942505643555
1,2,AAK,Food Processing,53.987,-28.848,1.275,8528.0,30661.0,0.14941000000000002,43762.919,23.799,0.11993999999999999,-1517.0,12698.0,-0.024,-0.10021000000000001,-0.10751,Sweden,Large Cap,AAK,22.238,2022-04-27,AAK.ST,0.01481,28.622,1.115,3.446,0.33354999999999996,2022-04-28,Q1-2022,Food and Beverage,-0.11946763269806268,0.2781383516519357,-0.003455733271256256,-0.12899875961362192,0.20015757324366723,0.1939684118200892,0.24552421038065392,0.3751147405178564,-2.80676283938103,-1.1793616891718899
2,3,ABB,Industrial Machinery,372.034,15.662,0.563,79632.0,355076.406,0.30094,596644.809,25.567,0.34536,38094.0,111274.797,-0.07775,0.02613,0.06537,Sweden,Large Cap,ABB,12.773,2022-04-21,ABB.ST,0.025840000000000002,14.22,2.449,5.362,0.04162,2022-04-28,Q1-2022,Industrials,0.34234167149278194,0.22426722433368326,0.018309595519226396,0.6547839985989569,0.22001730939421255,0.2047116612109719,0.25628331660642667,0.9255747371685916,1.7861284745079897,2.7806714441631684
3,1323,AcadeMedia,Education,11.7,2.31,0.761,11382.0,18330.0,0.09407,5802.527,35.967,0.12074,2512.0,5425.0,0.027149999999999997,-0.05431,-0.39325000000000004,Sweden,Mid Cap,ACAD,5.619,2022-02-01,ACAD.ST,0.03191,8.804,0.416,1.07,0.056420000000000005,2022-04-28,Q2-2022,Industrials,0.4630414746543779,0.6209492635024549,0.003969102103709599,0.12099980128915148,0.3726962040495236,0.3237035517001067,0.3006403421736603,0.7798609940007881,-3.57073097953813,0.7167565646304573
4,2198,Acast,Online Services,7.596,-19.462,0.55,373.476,1864.981,-1.36358,2761.394,67.875,-0.20096,-141.889,1494.808,-0.17158,-0.36262,-0.94345,Sweden,First North,ACAST,-6.514,2022-02-11,ACAST.ST,,-9.406,2.692,1.847,1.7121600000000001,2022-04-28,Q4-2021,Technology,-0.09492122065174927,0.20025726803651084,-0.003922660723904459,-0.043885942480142666,0.628484444844347,0.57904322690373,0.8192094633062108,,-0.7618721400511916,0.22713669354867497
5,1572,Acconeer,Measuring & Analysis,7.283,-24.25,0.168,27.989,201.113,-0.98277,1463.525,71.541,-0.28632,-60.352,185.606,-0.08960000000000001,-0.21733,0.37439999999999996,Sweden,First North,ACCON,-25.106,2022-04-22,ACCON.ST,,-27.456,43.386,7.885,0.69293,2022-04-28,Q1-2022,Industrials,-0.3251619020936823,0.1391705160780258,-0.06432545218522823,-0.7531419481119406,0.7006232175934013,0.68034275906082,0.7827906930162333,1.7687547965739796,1.9638937529575977,-0.6063822171945927
6,1015,AddLife,Biotechnology,68.787,-11.645,0.714,3235.0,12372.0,0.18658000000000002,27330.84,70.613,0.15777,-2347.0,4551.0,-0.13488,-0.36949,-0.038759999999999996,Sweden,Large Cap,ALIF B,30.982,2022-04-28,ALIF-B.ST,0.008960000000000001,37.865,3.093,6.005,1.7444499999999998,2022-04-28,Q1-2022,Health Care,-0.5157108327840035,0.2614775299062399,-0.060563327685618895,-0.6845188354942461,0.6193453042465669,0.5312146203183575,0.810893781344593,1.2131393047427905,-2.203280721874878,-3.115271346405868
7,7,Addnode,IT Consulting,29.715,336.751,0.943,2309.0,4322.0,0.13997,13133.296,44.691,0.13172,39.0,1693.0,0.12536,0.11891,0.37807,Sweden,Mid Cap,ANOD B,44.267,2022-02-04,ANOD-B.ST,0.00768,58.712,3.221,7.757,0.13201000000000002,2022-04-28,Q4-2021,Technology,0.02303603071470762,0.534243405830634,0.05203771237512522,1.0350978285054537,0.40783346063668335,0.3669970504189995,0.46076177417098146,1.1315185114510677,2.1764574823728777,2.037802139784111
8,8,Addtech,Industrial Components,61.437,162.52,1.153,4023.0,11321.0,0.20126999999999998,45993.068,50.57,0.23887,283.0,3952.0,0.01566,-0.17353000000000002,0.12467,Sweden,Large Cap,ADDT B,37.292,2022-02-08,ADDT-B.ST,0.00712,48.723,3.525,11.638,0.20912,2022-04-28,Q3-2022,Industrials,0.07160931174089069,0.3553573005918205,0.012558188795886327,0.23614960567679202,0.4314712136577812,0.3992547863582321,0.48739315556986457,1.4287913432377406,0.1730406880212914,-0.3781499618605204
9,2288,Advanced SolTech,Solar Energy,0.86,-5.699,0.067,125.175,1752.905,0.04559,1110.332,73.884,0.03212,-194.818,499.455,-0.22841999999999998,-0.8558,-0.94345,Sweden,First North,ASAB,31.453,2022-02-24,ASAB.ST,,42.917,7.232,2.223,0.39446,2022-04-28,Q4-2021,Utilities,-0.3900611666716722,0.07141003077748082,0.04680996930573078,0.5919598825294119,0.9913764641544354,0.8658165368243205,0.7247458280634844,,-0.7618721400511916,0.22713669354867497
