,Unnamed: 0,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility,Beta,Res_Mom_1Y,Res_Mom_6m,Return 3m Rank,Return 6m Rank,Return 1y Rank,EA ret std Rank,Res_Mom_1Y Rank,Res_Mom_6m Rank,P/E Rank,P/B Rank,P/S Rank,P/FCF Rank,EV/EBIT Rank,Asset Growth Rank,Yield Rank,ROE Rank,ROC Rank,FCFROE Rank,GPA Rank,Assets Turn Rank,PMOM Rank,IMOM Rank,Momentum Rank,Quality Rank,Value Rank,Gestalt Rank
223,223,758,Nilörngruppen,Packaging,2.948,26.153,1.419,388.897,602.975,0.53416,1256.5,58.392,0.31215,48.044,306.783,0.36218,0.30879,0.53518,Sweden,Small Cap,NIL B,9.21,2022-04-21,NIL-B.ST,0.04537,13.121,1.469,4.096,0.2961,2022-04-28,Q1-2022,Materials,0.1566058093179869,0.6449637215473278,0.246989629614965,4.438995612199816,0.4640162285686839,0.3860723620023737,0.5099571040210055,1.407320011545228,4.3877377172684655,4.147132381762905,20.0,32.0,31.0,3.0,23.0,27.0,60.0,226.0,116.0,85.0,44.0,225.0,38.0,27.0,23.0,72.0,28.0,33.0,24.0,16.0,3.0,13.5,98.5,11.0
236,236,343,Ogunsen,Outsourcing,0.811,13.362,2.802,180.9,150.0,3.09524,563.89,38.575,0.4403,42.2,80.4,0.17503,0.18694,0.70773,Sweden,First North,OGUN B,10.949,2022-02-25,OGUN-B.ST,0.06262,15.929,1.338,7.014,0.24585,2022-04-28,Q4-2021,Industrials,0.5248756218905473,1.206,0.0975443018503117,2.1598197209069774,0.3595109886721547,0.290773361900279,0.4139272759792776,1.6492006417742888,9.035072247635748,4.419633128678175,44.0,53.0,24.0,30.0,2.0,18.0,82.0,283.0,106.0,51.0,62.0,207.0,13.0,9.0,4.0,10.0,5.0,4.0,28.5,6.0,6.0,1.0,109.5,12.0
252,252,179,Prevas,IT Consulting,5.514,14.141,1.423,887.358,844.542,0.31495,1609.957,61.163,0.21931,113.849,502.011,0.44128,0.22718,0.71951,Sweden,Small Cap,PREV B,10.806,2022-04-28,PREV-B.ST,0.02769,14.555,1.34,3.207,0.0481799999999999,2022-04-28,Q1-2022,Technology,0.2267858672419528,1.050697301022329,-0.0032399233435045,-0.0448566025806795,0.4602153984693183,0.4106150483291366,0.6619847742931328,1.6347703681006065,2.581545013628382,2.188490860964614,12.0,44.0,23.0,181.0,56.0,70.0,72.0,195.0,107.0,55.0,60.0,82.0,80.0,66.0,43.0,46.0,9.0,32.0,25.0,55.0,49.0,16.0,56.0,13.0
110,110,75,EnQuest,Oil & Gas -Exploration,38.228,2.183,0.29,3463.601,42215.672,0.18789,7449.4,54.42,0.72392,3412.62,5035.71,0.45756,0.33446,0.95351,Sweden,Mid Cap,ENQ,4.375,2022-03-24,ENQ.ST,0.0,1.882,0.609,1.479,0.17775,2022-04-28,Q4-2021,Energy,0.6776839810076434,0.0820453835248672,0.110244080829018,1.877168476838294,0.5724016328632392,0.5444428508120305,0.5382594599827442,2.11461338282586,4.888538926011178,2.675941015463677,11.0,28.0,15.0,41.0,21.0,53.0,2.0,59.0,40.0,3.0,8.0,183.0,261.5,1.0,95.0,7.0,295.0,271.0,11.0,28.0,8.0,120.0,8.0,14.0
250,250,177,Poolia,Outsourcing,1.847,9.95,2.944,178.0,678.0,0.75116,790.05,55.412,0.37382,79.4,243.0,-0.1248,0.0778099999999999,0.61232,Sweden,Small Cap,POOL B,6.293,2022-04-26,POOL-B.ST,0.0596699999999999,8.644,0.396,3.251,0.25162,2022-04-28,Q1-2022,Industrials,0.3267489711934156,0.2625368731563421,-0.0331412560809254,-0.5945009373436948,0.4536283794362453,0.4264673789643134,0.5109237179518709,1.730073418848013,5.375655674386949,2.229387886328928,196.0,69.0,28.0,240.0,14.0,69.0,21.0,198.0,18.0,31.0,19.0,209.0,15.0,16.0,15.0,24.0,149.0,2.0,39.0,31.5,79.0,18.0,41.0,15.0
21,21,381,Arctic Paper,Forest & Wood Products,0.645,10.149,1.428,1578.682,5328.063,0.16313,1780.702,52.388,0.1023,175.456,2034.066,0.25061,0.52251,0.8227,Sweden,Small Cap,ARP,3.752,2022-03-24,ARP.ST,0.03471,6.28,0.234,0.875,0.11823,2022-04-28,Q4-2021,Materials,0.0862587546323472,0.2962956706780681,-0.0349938834501286,-0.5939969068396351,0.430232889417844,0.4011625398072085,0.5399426088727797,0.55173273740124,2.414403467340896,3.021059477357919,27.0,12.0,21.0,239.0,60.0,48.0,10.0,16.0,4.0,33.0,6.0,136.0,56.0,164.0,109.0,108.0,131.0,30.0,9.0,44.0,62.0,86.0,3.0,16.0
118,118,79,eWork,IT Consulting,1.069,38.233,3.541,483.569,3724.151,2.26946,2034.32,35.12,0.4926,53.208,198.917,0.00855,0.04982,0.19,Sweden,Small Cap,EWRK,16.683,2022-02-10,EWRK.ST,0.04237,20.761,0.154,10.227,0.10752,2022-04-28,Q4-2021,Technology,0.2674884499565145,0.1298467758154811,0.1183295212534869,3.3226427904062468,0.3388687522930374,0.3112694637970195,0.3263992082794373,0.8691692513676654,3.2636908128018507,2.287047722592024,100.0,78.0,71.0,8.0,46.0,66.0,120.0,315.0,3.0,103.0,115.0,131.0,41.0,7.0,5.0,38.0,268.0,1.0,57.0,46.5,11.0,38.0,106.0,17.0
321,321,775,Transtema,Telecom Services,5.024,7.446,1.966,1114.606,859.8,0.7574599999999999,1464.384,64.797,0.35189,196.66,250.425,0.02842,-0.03239,1.20762,Sweden,Small Cap,TRANS,11.728,2022-02-10,TRANS.ST,0.0,16.316,0.865,5.848,0.13377,2022-04-28,Q4-2021,Telecom,0.7853049815313966,1.296354966271226,0.0179773709869632,0.234107157612646,0.567011628227587,0.5155957228938448,0.7038030292125682,0.7328509823822508,4.158845803639907,-0.0861621274074064,89.0,103.0,10.0,155.0,28.0,210.0,86.0,269.0,62.0,23.0,70.0,149.0,261.5,20.0,14.0,5.0,1.0,10.0,45.0,106.5,77.0,3.0,76.5,18.0
81,81,51,Clas Ohlson,Retailers,20.0,8.152,1.322,3511.0,6460.0,0.22369,7281.6,45.405,0.2027,893.2,2335.0,-0.00359,0.22924,0.2273,Sweden,Mid Cap,CLAS B,12.412,2022-03-09,CLAS-B.ST,0.05631,14.856,0.852,3.118,0.05583,2022-04-28,Q3-2022,Consumer Durables,0.3825267665952891,0.5434984520123839,-0.0424086458445009,-0.7667418040909934,0.344461193688869,0.2814873892535203,0.5069263959942812,1.2067557891432783,3.4918283276530464,4.1523362751529405,110.0,42.0,63.0,255.0,41.0,26.0,75.0,189.0,59.5,26.0,74.0,87.0,19.0,75.0,77.0,17.0,54.0,39.0,42.0,26.0,88.0,24.5,46.0,19.0
44,44,32,Betsson,Gambling & Casinos,31.973,13.349,0.722,4392.827,9484.402,0.22539,8795.023,43.92,0.17231,658.875,6136.966,0.22505,0.02871,-0.2105099999999999,Sweden,Mid Cap,BETS B,7.601,2022-04-28,BETS-B.ST,0.06394,7.966,1.285,1.433,0.0915499999999999,2022-04-28,Q1-2022,Consumer Durables,0.1073616832812826,0.4631633075021493,0.0747760963509867,1.4933347735133744,0.3997768919419965,0.3533840771095037,0.4589287382567454,0.666265394041454,-0.528963774983225,1.4137201002038162,32.0,86.0,185.0,59.0,145.0,100.0,18.0,56.0,102.0,50.0,27.0,116.0,11.0,97.0,76.0,95.0,76.0,159.0,130.0,109.0,71.5,75.0,17.0,20.0
216,216,151,NCC B,Construction & Infrastructure,52.158,13.896,1.9,4547.0,28095.0,0.15487,13229.192,28.549,0.2603,952.0,5705.0,-0.2026099999999999,-0.1834,-0.2024,Sweden,Large Cap,NCC B,9.315,2022-04-28,NCC-B.ST,0.04918,8.84,0.248,2.319,-0.02812,2022-04-28,Q1-2022,Industrials,0.1668711656441718,0.1618437444385121,0.0324078698672807,0.9707333155722936,0.2421308186406743,0.2202424868520256,0.3059779949790592,1.1970647300006263,0.5205545385506467,3.02866270350458,259.0,183.0,180.0,84.0,112.0,47.0,24.0,132.0,5.0,53.0,47.0,40.0,30.0,46.0,117.0,70.0,245.0,12.0,186.0,70.0,93.5,69.5,10.0,22.0
43,43,31,Bergs Timber,Forest & Wood Products,3.503,4739.597,1.319,1271.0,2316.0,0.27116,1990.219,47.733,0.25804,-157.0,1616.0,0.15493,0.06296,-0.08129,Sweden,Small Cap,BRG B,5.195,2022-02-03,BRG-B.ST,0.05226,4.773,0.634,1.232,0.3696,2022-04-28,Q4-2021,Materials,-0.0971534653465346,0.5487910189982729,0.0594342227509161,1.3248725816699018,0.4526667651788555,0.4398418650940423,0.4111517264303987,1.1492431397824063,-1.6904739911816855,1.7025117584400933,49.0,73.0,135.0,68.0,235.0,88.0,7.0,35.0,45.0,250.0,12.0,255.0,27.0,48.0,55.0,193.0,53.0,40.0,89.5,141.5,73.0,45.0,65.0,23.0
292,292,210,Softronic,IT Consulting,0.989,16.236,1.839,526.4,439.9,0.64934,1513.199,46.059,0.29041,93.2,279.6,0.0828599999999999,0.1523,-0.0400699999999999,Sweden,Small Cap,SOF B,13.382,2022-04-21,SOF-B.ST,0.0469599999999999,18.636,1.868,5.412,-0.16843,2022-04-28,Q1-2022,Technology,0.3333333333333333,1.1966355989997728,-0.008431397185878,-0.1675056996299601,0.4108951157106622,0.3830695753625856,0.4613277745638342,1.061961270786549,0.019589586021577,3.350947066439882,70.0,56.0,125.0,196.0,129.0,39.0,109.0,259.0,147.0,63.0,84.0,17.0,33.5,35.0,18.0,22.0,6.0,14.0,72.0,73.5,95.0,7.0,83.0,24.0
220,220,155,New Wave,Clothing & Footwear,27.463,15.503,0.934,3467.4,7744.1,0.1908599999999999,11178.964,60.747,0.17637,721.1,4790.8,0.22279,0.14005,0.84089,Sweden,Mid Cap,NEWA B,11.009,2022-04-26,NEWA-B.ST,0.02522,13.228,1.546,2.333,0.08458,2022-04-28,Q1-2022,Consumer Durables,0.1505176588461217,0.4477473173125347,-0.0878366533895823,-1.1880712137909328,0.4935354372598411,0.4466830730514395,0.6775993025956649,2.000656926684372,7.805976025422823,3.628614835216605,33.0,58.0,19.0,279.0,5.0,33.0,61.0,133.0,121.0,59.0,63.0,107.0,93.0,91.0,92.0,75.0,78.0,100.0,28.5,10.5,85.0,54.5,48.0,25.0
255,255,184,ProfilGruppen,Industrial Components,4.341,4739.597,1.459,304.9,1652.8,0.26183,1161.643,72.517,0.23121,-93.2,571.7,0.38938,0.34188,0.69243,Sweden,Small Cap,PROF B,7.668,2022-04-21,PROF-B.ST,0.08599,8.56,0.482,2.032,0.32521,2022-04-28,Q1-2022,Industrials,-0.163022564281966,0.184474830590513,0.1233418336446331,1.6568744936085675,0.5155277488193251,0.4058074736468184,0.6822765287431782,0.726985721638451,6.808984470030979,4.295330106752053,17.0,27.0,26.0,50.0,9.0,24.0,20.0,111.0,28.0,250.0,28.0,236.0,3.0,62.0,60.0,220.0,226.0,28.0,15.5,8.0,7.0,103.0,79.0,26.0
279,279,202,Semcon,Business Consultants,1.239,15.702,1.263,1448.8,1355.2,0.25995,2159.07,42.886,0.16673,137.5,796.5,0.05115,0.04196,0.04376,Sweden,Small Cap,SEMC,11.109,2022-02-09,SEMC.ST,0.03356,16.258,1.262,2.711,0.16416,2022-04-28,Q4-2021,Industrials,0.17263025737602,1.0690672963400236,0.0039208470738818,0.0912745458021114,0.400804074672148,0.3611651429920093,0.3937040353696078,1.1842659994505629,-0.2555790451307592,1.525123001458546,76.0,81.0,97.0,166.0,136.0,95.0,84.0,158.0,99.0,61.0,64.0,167.0,58.0,101.0,61.0,67.0,8.0,45.5,69.0,105.0,93.5,31.0,71.0,27.0
69,69,1379,Byggpartner,Construction & Infrastructure,1.335,17.525,2.905,145.927,785.007,1.54901,1083.576,37.319,0.35459,61.832,196.465,0.03468,0.07186,0.03571,Sweden,First North,BYGGP,10.622,2022-02-24,BYGGP.ST,0.0419,15.554,0.475,5.515,0.06299,2022-04-28,Q4-2021,Industrials,0.3147227241493395,0.1858926098748164,0.0521409638751969,1.3502134151087324,0.3729659360019181,0.3470814652984456,0.3539291064543397,0.6201463636638568,-2.445542829056123,0.1752876108831357,86.0,70.0,99.0,66.0,258.0,203.0,79.0,263.0,26.0,66.0,58.0,91.0,42.0,19.0,7.0,26.0,224.0,3.0,64.0,240.0,105.5,29.0,61.0,28.0
12,12,258,Africa Oil,Oil & Gas -Exploration,80.107,6.123,0.226,2041.911,8924.562,0.22576,9780.53,70.186,0.20117,1597.446,8532.522,0.4119299999999999,0.52254,1.54635,Sweden,Mid Cap,AOI,4.921,2022-02-08,AOI.ST,0.01087,5.681,4.79,1.146,0.08909,2022-04-28,Q4-2021,Energy,0.1872185035092789,0.2287967745643987,-0.0110827859521627,-0.18988579442967,0.5416753551882645,0.4768116863357693,0.5349289628465566,0.433079724048919,4.224982968386444,1.5444919425460508,15.0,11.0,7.0,202.0,26.0,94.0,8.0,31.0,241.0,14.0,9.0,113.0,140.0,77.0,74.0,61.0,183.0,288.0,5.0,50.5,48.0,123.0,26.0,29.0
234,234,164,Novotek,IT Services,0.778,17.025,1.226,223.9,318.8,0.6338,665.68,50.817,0.24119,39.1,163.2,-0.07375,-0.0426799999999999,0.17222,Sweden,Small Cap,NTEK B,11.2,2022-02-17,NTEK-B.ST,0.0238899999999999,16.768,1.702,4.079,0.14429,2022-04-28,Q4-2021,Technology,0.2395833333333333,0.7023212045169385,0.0022162739988728,0.0430094265222034,0.4900866796735861,0.4422242440488253,0.4722798782426922,1.3169549998487775,0.8924461139534293,0.9721522400975668,160.0,104.0,73.0,168.0,103.0,121.0,89.0,224.0,134.0,64.0,65.0,156.0,96.0,57.0,19.0,44.0,23.0,50.0,67.5,99.5,92.0,15.0,91.0,30.0
165,165,1443,International Petroleum,Oil & Gas -Exploration,78.468,6.924,0.523,1775.109,10749.81,0.17067,13846.914,43.017,0.1723,1999.833,7153.263,0.50082,0.9074,2.06826,Sweden,Mid Cap,IPCO,8.764,2022-02-08,IPCO.ST,0.0,11.501,2.462,1.936,-0.04459,2022-04-28,Q4-2021,Energy,0.2795693377973101,0.1651293371696802,-0.0205951624090228,-0.4285885418318017,0.4290461694690218,0.4109178647873288,0.4404172369418818,1.9484273253496065,7.42422351463531,5.193486047250617,7.0,3.0,3.0,228.0,6.0,8.0,49.0,97.0,183.0,18.0,37.0,37.0,261.5,98.0,104.0,36.0,239.0,226.0,2.0,3.0,44.0,129.0,28.0,31.0
2,2,3,ABB,Industrial Machinery,372.034,15.662,0.563,79632.0,355076.406,0.30094,596644.809,25.567,0.34536,38094.0,111274.797,-0.07775,0.02613,0.06537,Sweden,Large Cap,ABB,12.773,2022-04-21,ABB.ST,0.02584,14.22,2.449,5.362,0.04162,2022-04-28,Q1-2022,Industrials,0.3423416714927819,0.2242672243336832,0.0183095955192263,0.6547839985989569,0.2200173093942125,0.2047116612109719,0.2562833166064266,0.9255747371685916,1.7861284745079895,2.7806714441631684,165.0,87.0,90.0,103.0,78.0,49.0,68.0,256.0,182.0,60.0,78.0,75.0,90.0,24.0,46.0,20.0,188.0,216.5,67.5,56.0,42.0,72.0,88.0,32.0
302,302,213,Studsvik,Energy & Recycling,1.303,33.726,0.888,213.8,927.3,0.14392,782.449,37.647,0.15559,23.2,392.3,-0.1052599999999999,0.11737,0.2460699999999999,Sweden,Small Cap,SVIK,9.106,2022-04-26,SVIK.ST,0.02101,12.806,0.95,1.995,0.19915,2022-04-28,Q1-2022,Industrials,0.0591384144787152,0.2305618462202092,0.0616792480196498,1.6355345120986795,0.3463701029878588,0.302689729665072,0.3456360239018264,0.7938377961665322,-0.4002367436166131,1.4113089368248712,181.0,62.0,61.0,51.0,142.0,101.0,58.0,104.0,69.0,95.0,43.0,189.0,105.0,113.0,129.0,122.0,182.0,114.0,49.5,108.0,36.0,117.0,51.0,33.5
218,218,1081,Nepa,IT Services,0.665,37.217,1.502,248.54,196.712,2.2578,578.717,37.755,0.37536,15.55,102.797,-0.03412,-0.2103,0.22667,Sweden,First North,NEPA,12.334,2022-03-18,NEPA.ST,0.01671,14.998,1.851,5.63,0.1767299999999999,2022-04-28,Q4-2021,Technology,0.1512690059048416,1.26347147098296,0.0739020443380105,1.778045867204265,0.4662235767969299,0.3906908932714102,0.3809369808028803,1.1298590318513098,2.3065857266654537,-0.5616701921074584,138.0,203.0,64.0,42.0,65.0,230.0,76.0,264.0,146.0,101.0,73.0,182.0,119.0,15.0,6.0,74.0,4.0,27.0,124.5,129.0,67.5,9.0,127.5,33.5
190,190,129,Loomis,Security,41.979,13.169,0.694,5357.0,27228.0,0.11785,18067.2,33.922,0.10971,1372.0,10063.0,-0.01356,0.03672,-0.13917,Sweden,Large Cap,LOOMIS,14.427,2022-02-03,LOOMIS.ST,0.03542,16.283,0.916,1.795,0.09367,2022-04-28,Q4-2021,Industrials,0.1363410513763291,0.1967459967680329,0.1278016470117393,3.920898262108407,0.2948950927501698,0.2667198264932451,0.2987380351238146,1.514055985537253,2.5586701903152504,3.440159191864137,122.0,83.0,152.0,4.0,58.0,38.0,85.0,88.0,65.0,49.0,94.0,118.0,53.0,149.0,149.0,83.0,216.0,165.5,102.5,41.0,16.0,150.0,42.5,35.0
