,Unnamed: 0,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,P/S,P/B,Asset Growth,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility
274,274,321,Misen Energy,Oil & Gas -Exploration,4.019,13.085,0.001,483.289,48.988,-109.0802,1291.105,186.738,2.15635,98.667,37.666,0.21585,1.96667,4.63291,Sweden,First North,MISE,4.141,2021-11-30,MISE.ST,,15.899,2.486,34.278,6.03244,Q3-2021,Energy,2.619524239367069,9.865456846574672,-0.1492057355951476,-0.8260097886073522,1.4937478008070553,1.2585998767878055,1.6555411011269583
275,275,148,MTG B,Broadcasting & Publishing,57.424,-4.385,0.304,2583.0,17436.0,0.01425,13445.024,75.549,-0.04031,-3066.0,8002.0,0.20314,-0.07859,-0.14254,Sweden,Mid Cap,MTG B,78.272,2022-02-07,MTG-B.ST,,-29.813,2.534,1.68,0.61444,Q4-2021,Consumer Durables,-0.3831542114471382,0.1481417756366139,0.0307395046900217,0.3564315406601208,0.498891512894495,0.3528900011371261,0.7904244770627584
276,276,1439,Munters,Installation,18.555,61.244,0.684,2354.0,10742.0,0.1040799999999999,10901.468,39.831,0.1175799999999999,178.0,4360.0,-0.11061,-0.27396,-0.16643,Sweden,Large Cap,MTRS,17.65,2022-02-04,MTRS.ST,0.0143799999999999,21.003,1.484,2.5,0.122,Q4-2021,Industrials,0.0408256880733945,0.2191398249860361,0.0816663471925451,2.0636127985501846,0.3492553094053475,0.3240830564048931,0.3627058506356531
277,277,140,Mycronic,Semiconductors,19.485,-71.11,0.755,2284.0,6136.0,0.27015,15999.638,36.681,0.2069099999999999,-225.0,3997.0,-0.18544,-0.3373899999999999,-0.2586199999999999,Sweden,Large Cap,MYCR,14.833,2022-02-09,MYCR.ST,0.01836,19.301,3.452,4.003,0.1536,Q4-2021,Technology,-0.0562922191643732,0.3722294654498044,-0.0042962273032054,-0.1203619701769443,0.347409206406142,0.3049496122182396,0.3271429803073496
278,278,1941,Nanoform,Pharmaceuticals,1.162,-15.078,0.015,13.794,1071.973,-1.36983,3586.856,37.144,-0.20171,-237.892,939.411,-0.31887,-0.30645,-0.42433,Sweden,First North,NANOFS,-14.103,2021-11-25,NANOFS.ST,,-17.376,230.102,3.818,,Q3-2021,Health Care,-0.2532352718884492,0.0128678614106885,0.0069617787783765,0.1508718538692742,0.358408770298748,0.3234027641770964,0.4229135840153541
279,279,1695,NCAB Group,Semiconductors,27.527,-22.131,1.21,987.5,2661.0,0.28445,11676.276,71.526,0.3678,-527.6,773.5,-0.2797,0.09561,0.85863,Sweden,Large Cap,NCAB,32.053,2022-02-17,NCAB.ST,0.00961,41.029,3.612,15.095,0.7943399999999999,Q4-2021,Technology,-0.6820943762120233,0.3711010898158587,0.0091846096706466,0.1178391948507582,0.6429354966337252,0.5940108732928209,0.7143492298579748
280,280,151,NCC B,Construction & Infrastructure,35.98,7.368,1.816,4520.0,29421.0,0.17484,13977.4,25.033,0.25804,1897.0,5844.0,-0.19387,-0.1602599999999999,-0.08646,Sweden,Large Cap,NCC B,9.265,2022-02-02,NCC-B.ST,0.04655,9.197,0.262,2.392,0.0305399999999999,Q4-2021,Industrials,0.3246064339493497,0.1536317596274769,-0.0088385589484277,-0.3565411713558143,0.2315789423910445,0.2053253503609252,0.2272016174820876
281,281,152,Nederman,Installation,1.122,15.211,0.855,1523.3,4729.0,0.16216,6067.629,56.911,0.17777,398.9,1717.4,-0.1761899999999999,-0.14356,0.33077,Sweden,Mid Cap,NMAN,15.549,2022-02-15,NMAN.ST,0.02023,19.874,1.501,3.533,0.11284,Q4-2021,Industrials,0.2322697100267846,0.3221188411926411,0.0793007150949374,1.3523588402308593,0.4605884728300281,0.4382311799538265,0.5374335846019126
282,282,48,Nelly Group,Clothing & Footwear,1.463,-109.869,1.587,638.7,899.9,-0.14124,461.45,51.332,-0.2338599999999999,-4.2,204.4,-0.14846,-0.25522,-0.28917,Sweden,Small Cap,NELLY,-15.035,2022-02-04,NELLY.ST,,-9.396,0.323,2.258,0.37368,Q4-2021,Consumer Durables,-0.0205479452054794,0.7097455272808091,-0.021877099754366,-0.4656379059871632,0.4349230626389877,0.3810057015646886,0.4306069773161721
283,283,1081,Nepa,IT Services,1.285,23.058,1.647,230.889,172.798,2.50231,548.837,42.953,0.35093,23.802,92.378,-0.27292,-0.23799,0.94972,Sweden,First North,NEPA,13.572,2021-11-19,NEPA.ST,,16.93,1.849,5.941,0.24193,Q3-2021,Technology,0.2576587499188118,1.3361786594752254,-0.0521422136725623,-1.0518860926657654,0.4945569939871056,0.416630351974453,0.4543184717872351
