,Unnamed: 0,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility,Beta,Res_Mom_1Y,Res_Mom_6m,Total_Mom_6m
0,0,2,AAK,Food Processing,57.153,-27.977,1.275,8528.0,30661.0,0.14941,42441.148,25.984,0.1199399999999999,-1517.0,12698.0,-0.04868,-0.16421,-0.13541,Sweden,Large Cap,AAK,21.638,2022-04-27,AAK.ST,0.0152299999999999,27.834,1.086,3.342,0.3335499999999999,2022-06-29,Q1-2022,Food and Beverage,-0.1194676326980626,0.2781383516519357,-0.0121607286053153,-0.4539467975936576,0.2168133326085956,0.211005381062565,0.2455241875703499,0.7010491509030993,4.38743431133671,7.883710939664077,-0.1274214390180418
1,1,3,ABB,Industrial Machinery,273.845,14.189,0.563,79632.0,355076.406,0.30094,540501.375,25.904,0.34536,38094.0,111274.797,-0.12444,-0.21062,-0.03216,Sweden,Large Cap,ABB,11.616,2022-04-21,ABB.ST,0.02729,13.462,2.705,4.857,0.04162,2022-06-29,Q1-2022,Industrials,0.3423416714927819,0.2242672243336832,0.0183095955192263,0.6547839985989569,0.2298896284405587,0.2197773465980596,0.2562833166064266,0.9202415480768767,4.722977704614115,11.942637132953465,-0.0732292150726449
2,2,1323,AcadeMedia,Education,10.373,2.118,0.775,11542.0,18274.0,0.09078,4889.752,37.662,0.10997,2309.0,5647.0,-0.10426,-0.15964,-0.3927799999999999,Sweden,Mid Cap,ACAD,5.093,2022-05-05,ACAD.ST,0.03786,7.875,0.345,0.866,0.04951,2022-06-29,Q3-2022,Industrials,0.4088896759341243,0.6316077487140199,-0.1065652701262962,-2.4533182446072708,0.3531962573525811,0.3194297652622074,0.3981084947952549,0.6770478696576102,-15.343947964303004,0.3821991313676138,-0.2095724208314722
3,3,2198,Acast,Online Services,2.137,-13.808,0.629,408.651,1791.88,-1.3030099999999998,2886.506,62.13,-0.22495,-209.042,1441.964,-0.12891,-0.29783,-0.52639,Sweden,First North,ACAST,-6.428,2022-05-17,ACAST.ST,,-9.058,2.562,2.002,1.77726,2022-06-29,Q1-2022,Technology,-0.1449703321303444,0.2280571243610063,-0.0050407698426879,-0.075456563874065,0.6422224470417424,0.6004313007375739,0.6122650748719776,,-3.2350334895974724,-1.6812691033637166,-0.3408163421008051
4,4,1572,Acconeer,Measuring & Analysis,2.873,-18.667,0.168,27.989,201.113,-0.98277,1126.58,70.36,-0.28632,-60.352,185.606,-0.3333299999999999,-0.50952,-0.14951,Sweden,First North,ACCON,-18.754,2022-04-22,ACCON.ST,,-21.135,33.397,6.07,0.69293,2022-06-29,Q1-2022,Industrials,-0.3251619020936823,0.1391705160780258,-0.0643254521852282,-0.7531419481119406,0.685687362594044,0.6727112956430044,0.7827906930162333,1.0446886204410315,-4.287286450414881,-14.966172928935192,-0.5138734741528217
5,5,2107,ACQ Bure SPAC,Investment Banking,1.555,-114.184,,,3439.2,-0.00291,3220.0,9.372,-0.00265,-28.2,3437.3,-0.06237,-0.08549,-0.10331,Sweden,Mid Cap,ACQ SPAC,-320.176,2022-04-12,ACQ-SPAC.ST,,-353.846,,0.937,-0.00839,2022-06-29,Q1-2022,Financials,-0.0082041136938876,,0.009235838915203,0.7704306706027942,0.1033510934688213,0.0944113103537563,0.1098708360149322,,-3.2350334895974724,-1.6812691033637166,-0.0989226114110187
6,6,1326,Acuvi,Electrical Components,1.71,585.481,0.172,-20.574,520.652,-0.1909799999999999,825.528,50.05,-0.18989,1.41,374.907,-0.15385,-0.32377,-0.4,Sweden,First North,ACUVI,-11.832,2022-04-20,ACUVI.ST,,-11.34,9.193,2.202,9.38687,2022-06-29,Q1-2022,Industrials,0.0037609327113124,-0.0395158378341003,0.0572543774284992,0.9791599153619632,0.5472077237742913,0.4999343612047538,0.5359135199824402,1.1367084271576628,-6.0467778045363065,-7.373569702942081,-0.4536423979085354
7,7,1015,AddLife,Biotechnology,74.026,-8.29,0.714,3235.0,12372.0,0.18658,19457.301,69.538,0.15777,-2347.0,4551.0,-0.40263,-0.58512,-0.36151,Sweden,Large Cap,ALIF B,23.433,2022-04-28,ALIF-B.ST,0.0125899999999999,26.956,2.202,4.275,1.7444499999999998,2022-06-29,Q1-2022,Health Care,-0.5157108327840035,0.2614775299062399,-0.0717270603059342,-0.8106973523666554,0.6384380507311215,0.5605170283813257,0.8108936886719886,1.0931321721993712,-13.650623469014668,-18.527672070183858,-0.5722842412840192
8,8,7,Addnode,IT Consulting,23.905,-103.885,0.811,2462.0,5388.0,0.1398,11219.63,45.887,0.15177,-108.0,1812.0,-0.11746,-0.21228,0.0964199999999999,Sweden,Mid Cap,ANOD B,31.969,2022-04-29,ANOD-B.ST,0.00899,40.556,2.569,6.192,0.3254599999999999,2022-06-29,Q1-2022,Technology,-0.0596026490066225,0.4569413511507053,0.0314941034181496,0.6590505640825499,0.4456353271179349,0.4194386052127136,0.4379758419882352,0.9764716356980424,2.335903297833879,4.47301004286938,-0.0419590777171057
9,9,8,Addtech,Industrial Components,56.223,-275.644,1.13,4321.0,12427.0,0.22135,36936.309,49.027,0.25217,-134.0,4259.0,-0.26413,-0.38455,-0.02,Sweden,Large Cap,ADDT B,27.313,2022-05-17,ADDT-B.ST,0.01329,33.85,2.631,8.673,0.2672899999999999,2022-06-29,Q4-2022,Industrials,-0.031462784691242,0.3477106300796652,-0.0231563570593938,-0.4332711138052176,0.4621051110065573,0.4367242835039853,0.489835374032358,1.2910400357112464,4.031970460175397,-9.277545889410115,-0.3613207835071491
