,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,OCF,Total Equity,EV,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,EV/S,P/B,Cash.f.Fin.,Info - Stock price,Info - Report,Sector,CF_prof,GPA,Financing_Yield,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility,Beta,Res_Mom_1Y,Res_Mom_6m,Total_Mom_6m
171,110,Indutrade,Industrial Components,78.182,319.129,0.969,8455.0,24868.0,0.18803,75633.453,38.525,0.21663,2470.0,11005.0,82631.453,0.00096,-0.23366,Sweden,Large Cap,INDT,25.758,2022-07-19,INDT.ST,0.011080000000000001,31.736,3.429,6.873,-475.0,2022-08-26,Q2-2022,Industrials,0.09932443300627312,0.3399951745214734,-0.01910085250120637,0.00809039135222367,0.18319304805661263,0.3847421462792316,0.3825581338232339,0.4047624204814123,1.1833320076666134,-11.040839450755016,-3.3960720759486396,-0.2515739185282141
172,2175,Mildef Group,IT Services,1.977,-12.446,0.786,278.2,759.5,0.0316,2485.369,75.876,0.01702,-45.4,534.6,2449.269,0.5011,0.36328000000000005,Sweden,Small Cap,MILDEF,156.004,2022-07-28,MILDEF.ST,0.01098,272.546,4.102,4.649,-33.7,2022-08-26,Q2-2022,Technology,-0.0597761685319289,0.3662936142198815,-0.04437129690585912,-0.008484501764788765,-0.10997683949231955,0.6218548057879573,0.5582658413647485,0.7070738120974326,,-2.129770163388261,-1.1120935095752715,0.3021283942676618
173,44,Bure Equity,Holding Companies,22.533,106.313,,,14622.0,-0.46107,15659.85,55.322,-0.44843000000000005,412.4,14565.0,15181.85,-0.26514,-0.45770000000000005,Sweden,Large Cap,BURE,-2.327,2022-08-19,BURE.ST,0.01065,-2.395,,1.075,-165.1,2022-08-26,Q2-2022,Financials,0.028204076049787988,,-0.011291205033511147,-0.10273938450339681,-1.9232902023380172,0.4912364001604075,0.473647694942406,0.48958914860342456,1.3065930361790332,-15.29169976439491,-12.786971157994204,-0.4875592874583261
174,209,SkiStar,Leisure,10.911,15.174,0.531,3239.188,7751.085,0.1898,11238.97,35.7,0.26691,1334.385,3542.776,14124.41,0.03165,-0.17670000000000002,Sweden,Mid Cap,SKIS B,12.091,2022-06-17,SKIS-B.ST,0.01046,11.879,3.433,3.172,-563.786,2022-08-26,Q3-2022,Consumer Durables,0.17215460803229482,0.4179012357624771,-0.07273639754950435,-0.12846312102286028,-3.418380530460074,0.34940416871309454,0.32917961479626834,0.3444274099105632,0.9234065208622209,1.2511444180841726,6.784164064355905,-0.14285719497494243
175,403,Hanza Holding,Business Consultants,5.123,-35.312,1.363,1157.0,2218.2,0.1478,1755.009,54.427,0.15117,17.1,664.8,2400.409,0.28403,0.6192799999999999,Sweden,Small Cap,HANZA,14.79,2022-07-26,HANZA.ST,0.01019,17.462,0.794,2.64,68.9,2022-08-26,Q2-2022,Industrials,0.007708953205301597,0.5215940852943829,0.0310612208096655,0.12882239464652978,2.168849168368052,0.6762122108684706,0.6163482241288973,0.5443793725106261,1.0614321460005376,13.081608340582592,-1.5121427160532241,-0.15988085330142776
176,1421,Mips,Recreation & Sport,54.716,58.399,0.943,530.0,770.0,0.7836700000000001,12906.09,62.992,0.52113,244.0,568.0,12524.09,-0.29384,-0.45226,Sweden,Large Cap,MIPS,32.615,2022-07-21,MIPS.ST,0.01014,43.602,17.251,22.722,-135.0,2022-08-26,Q2-2022,Consumer Durables,0.3168831168831169,0.6883116883116883,-0.17532467532467533,0.21798231095742482,3.269722982447581,0.6381701569960985,0.5659742959704471,0.611012275649144,1.0758555475121028,-19.518638616498805,-19.494623596123226,-0.5786970748103772
177,98,Hexagon,Measuring & Analysis,284.733,-28.782,0.288,31146.721,167638.0,0.0757,310724.188,31.975,0.08458,13297.74,97911.844,348197.906,-0.07304000000000001,-0.21295000000000003,Sweden,Large Cap,HEXA B,33.111,2022-07-27,HEXA-B.ST,0.00977,37.376,7.218,3.174,11437.26,2022-08-26,Q2-2022,Industrials,0.07932413891838366,0.18579749818060345,0.06822593922618976,0.0004291814386341297,0.011276145090376026,0.3229314443769345,0.32377351306585006,0.34883489235865434,1.1473077963618055,-6.186267692243867,6.191778464025568,-0.18389495691350732
178,1459,Medicover,Healthcare Facilities,10.834,-10.557,0.813,3851.915,18806.59,0.08317999999999999,19949.07,45.934,0.11115,2044.195,5177.226,27920.9,-0.40588,-0.46976,Sweden,Large Cap,MCOV B,24.306,2022-07-22,MCOV-B.ST,0.00961,31.596,1.826,3.853,1896.004,2022-08-26,Q2-2022,Health Care,0.10869567529254373,0.2048173007440477,0.1008159373921588,0.028911040415811273,0.5271966640528393,0.48732472582340125,0.45260448197186254,0.5026095199726225,1.0374042919586386,-18.329634271154088,-27.050458621717574,-0.6196858122349862
179,194,Sagax A,Real Estate,24.216,-23.673,0.049,2783.0,68840.0,0.04057,102644.602,54.876,0.22481,2939.0,32231.0,127858.602,-0.10853,-0.29652,Sweden,Large Cap,SAGA A,48.745,2022-07-14,SAGA-A.ST,0.00935,10.065,37.817,3.185,4420.0,2022-08-26,Q2-2022,Financials,0.042693201626961066,0.040427077280650786,0.0642068564787914,0.031235962816981933,0.4762898951153365,0.49270370221485194,0.4903799723414183,0.6010673981608754,1.2355310872354481,-7.885744748134042,0.9359409739314327,-0.23350081789582922
180,1930,Electrolux Professional B,Consumer Electronics,11.148,-11.135,0.803,3154.0,11784.0,0.13271,15433.22,40.398,0.13823,824.0,3986.0,17629.221,-0.01196,-0.17378,Sweden,Large Cap,EPRO B,24.519,2022-07-22,EPRO-B.ST,0.00931,28.011,1.864,3.872,1188.0,2022-08-26,Q2-2022,Consumer Durables,0.06992532247114731,0.2676510522742702,0.10081466395112017,-0.08106785681750561,-1.7422005605637056,0.39548804554588696,0.3907659491254048,0.42647166888048654,1.2544149954389336,-4.577782317843652,2.9737309754339774,-0.17649161716517592
181,130,Lundbergföretagen,Holding Companies,42.328,32.443,0.135,,200198.0,0.05534,103168.0,30.356,0.030670000000000003,8053.0,93040.0,122755.0,-0.07205,-0.23654,Sweden,Large Cap,LUND B,11.94,2022-08-25,LUND-B.ST,0.00901,36.149,4.556,1.109,-3839.0,2022-08-26,Q2-2022,Financials,0.04022517707469605,,-0.019176015744413032,-0.052059158068190836,-1.5424008294066478,0.2779667500899252,0.27773717811010334,0.30934245873678645,0.9744275825723997,1.309833861593049,11.370013915399625,-0.17052861193531976
182,440,Lifco,Holding Companies,61.903,4280.854,0.72,8098.0,27296.0,0.19367,77055.367,37.102,0.22512000000000001,2706.0,11678.0,85484.367,-0.21093,-0.31812999999999997,Sweden,Large Cap,LIFCO B,24.586,2022-07-15,LIFCO-B.ST,0.00884,29.361,4.353,6.598,-102.0,2022-08-26,Q2-2022,Financials,0.09913540445486518,0.29667350527549824,-0.0037368112543962485,0.02489969020623839,0.57359875281144,0.39921911493803924,0.38643303386826805,0.397855520402597,1.2403876299060945,-12.4301121988967,-8.571505413081573,-0.3571308963685139
183,35,BioGaia,Health Products,9.13,45.695,0.457,695.056,2082.697,0.6057,8579.39,40.468,0.14082,304.575,1746.629,7223.046,-0.11917,-0.12076,Sweden,Mid Cap,BIOG B,22.795,2022-07-22,BIOG-B.ST,0.008539999999999999,34.899,7.588,4.912,-314.836,2022-08-26,Q2-2022,Food and Beverage,0.1462406677495574,0.3337288141289876,-0.1511674525867181,-0.17002597158654897,-3.778057321125698,0.38743958474619616,0.3502310047210343,0.41246430039426535,0.7118823561546219,4.625911955413171,-1.3508607143862348,-0.23864287589664024
