,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,OCF,Total Equity,EV,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,EV/S,P/B,Cash.f.Fin.,Info - Stock price,Info - Report,Sector,CF_prof,GPA,Financing_Yield,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility,Beta,Res_Mom_1Y,Res_Mom_6m,Total_Mom_6m
0,132,Orrön Energy,Renewable Energy,1282.806,0.207,0.517,26496.199,71438.25,-2.9834699999999996,3413.945,166.317,,28197.9,-7739.25,2308.945,-0.96816,-0.88945,Sweden,Large Cap,ORRON,0.088,2022-04-27,ORRON.ST,1.6017599999999999,0.951,0.063,,-13002.45,2022-07-28,Q1-2022,Utilities,0.39471711583080493,0.37089652952025004,-0.18200963769409245,0.030547727223303234,0.5922521399467716,3.814978026466515,0.8243007034322524,0.4727286331873163,0.8633202253984021,-7.230683021424038,-7.971680448131928,-0.9613855998651037
1,51,Clas Ohlson,Retailers,12.68,8.988,1.477,3604.8,5948.6,0.22275999999999999,7445.6,30.958,0.23518999999999998,986.1,2221.6,8778.7,0.01885,0.43262,Sweden,Mid Cap,CLAS B,12.203,2022-06-08,CLAS-B.ST,0.11454,13.76,0.999,3.351,-909.2,2022-07-28,Q4-2022,Consumer Durables,0.16577009716571967,0.6059913256900783,-0.15284268567394008,-0.008644927893273757,-0.2671780534773203,0.354606113832407,0.2875138272871657,0.2965515762448278,0.8719559277024856,22.47565572571407,8.636932181282296,0.04827623917516588
2,1632,SSAB B,Mining - Steel & Aluminum,237.561,2.993,0.859,37051.0,139324.0,0.35394,48010.91,47.079,0.26064,18895.0,91919.0,40847.91,-0.00935,0.22682,Sweden,Large Cap,SSAB B,1.305,2022-07-22,SSAB-B.ST,0.11260999999999999,2.003,0.341,0.522,-5163.0,2022-07-28,Q2-2022,Materials,0.13561913238207343,0.2659340817088226,-0.037057506244437426,-0.004503752495716107,-0.08961214201513136,0.41237766801329273,0.39917807814887213,0.4606247827326882,1.1678117806506838,11.497624984729352,16.3636663504351,0.2845693939958669
3,349,Tethys Oil,Oil & Gas -Exploration,12.127,17.936,0.407,657.9,2544.05,0.10331,2180.109,59.755,0.08896000000000001,626.45,2255.05,1709.209,-0.03723,0.26655999999999996,Sweden,Mid Cap,TETY,8.705,2022-05-10,TETY.ST,0.10619999999999999,10.724,1.65,0.967,-134.3,2022-07-28,Q1-2022,Energy,0.24624122953558303,0.2586034079518877,-0.05278984296692282,-0.2007439028812934,-2.9261403382121496,0.5444923944316631,0.4934018487131076,0.628762823328192,0.8486618768172501,13.854832188897833,9.928281939200012,0.173826814538661
4,1325,Bonava B,Real Estate,15.3,-2.928,0.634,2355.0,26632.0,0.09653,4007.795,46.071,0.11747999999999999,-1297.0,8771.0,9888.795,-0.5330400000000001,-0.56541,Sweden,Mid Cap,BONAV B,7.303,2022-07-21,BONAV-B.ST,0.0947,3.841,0.586,0.457,813.0,2022-07-28,Q2-2022,Financials,-0.048700811054370685,0.08842745569240013,0.030527185340943227,0.103756517184316,2.496230458463885,0.37027717535864824,0.3455170672183694,0.3809520809506568,1.2694058813698075,-9.365996548141684,-10.74390117866267,-0.5233433241493393
5,27,BE Group,Industrial Components,8.288,20.72,1.621,1384.0,4178.0,0.36311,1678.29,80.65,0.41706000000000004,126.0,1688.0,2463.29,0.032,0.7625,Sweden,Small Cap,BEGR,2.818,2022-07-13,BEGR.ST,0.09301999999999999,2.381,0.364,0.994,-107.0,2022-07-28,Q2-2022,Industrials,0.03015797032072762,0.331258975586405,-0.025610339875538537,0.05454773452864892,0.6932874269838127,0.6624283343754034,0.6341753611934275,0.721112521983545,0.806089841621373,9.13788865612728,1.1657736672128993,0.10776565350770761
6,157,Nobia,Home Furnishings,8.827,-69.09,1.376,5444.0,10458.0,0.11571,4836.321,43.689,0.10532,1529.0,4377.0,6884.321,-0.42995,-0.5723199999999999,Sweden,Mid Cap,NOBI,9.696,2022-07-19,NOBI.ST,0.08803000000000001,10.403,0.478,1.105,195.0,2022-07-28,Q2-2022,Consumer Durables,0.14620386307133296,0.520558424172882,0.018646012621916237,-0.06625260543038891,-1.3871494796129094,0.3744586004157379,0.33566288129275595,0.43774313271201704,1.088826113065358,-18.198137407973846,-4.629984491343408,-0.3846383024658806
7,45,Byggmax,Retailers,14.801,-8.904,1.117,2591.0,6728.0,0.17961,2787.032,45.264,0.20247,197.0,2188.0,5229.033,-0.33880000000000005,-0.30633,Sweden,Mid Cap,BMAX,8.313,2022-07-15,BMAX.ST,0.08413999999999999,6.291,0.696,1.274,163.0,2022-07-28,Q2-2022,Consumer Durables,0.029280618311533887,0.38510701545778836,0.024227110582639714,-0.12121675478329808,-2.5380012900479567,0.3881850424989604,0.35567253251636477,0.4377341780475357,0.8827346808671627,-11.916977000641198,-19.808465918738985,-0.41891584151952654
8,1710,Arion Banki,Banks,0.89,4.414,0.039,3114.936,112052.203,0.023690000000000003,19723.141,31.456,0.1275,4354.479,14848.19,19723.141,0.0,0.27968,Sweden,Large Cap,ARION SDB,7.875,2022-07-27,ARION-SDB.ST,0.08295,10.419,4.54,1.328,-3245.346,2022-07-28,Q2-2022,Financials,0.038861163666724166,0.027798971520443916,-0.02896280406017542,-0.008420791311359865,-0.24969721430112685,0.288817066429114,0.28278295204291876,0.3090856556308717,0.5384867309821001,6.095766331626561,2.1366149435626807,0.09633510452959593
9,2218,Corem Property D,Real Estate,2.45,-2062.386,0.047,2917.0,93663.0,0.033889999999999997,276359.812,46.58,0.13179,1365.0,34835.0,321477.812,-0.20196999999999998,-0.12914,Sweden,Large Cap,CORE D,117.456,2022-07-13,CORE-D.ST,0.0823,56.505,73.717,7.933,-440.0,2022-07-28,Q2-2022,Financials,0.014573524230485892,0.03114356789767571,-0.004697692792244536,0.0395232163155117,0.717557672637062,0.3051469518971015,0.19937511544709252,0.5048183229881089,,-2.7574594356767452,-0.8588692425577756,-0.16451325168896858
10,184,ProfilGruppen,Industrial Components,1.6,-12.73,1.516,344.8,1729.3,0.31707,1220.835,84.424,0.29063,4.0,526.1,1635.635,0.46018000000000003,0.57965,Sweden,Small Cap,PROF B,7.253,2022-07-14,PROF-B.ST,0.08182,7.724,0.624,2.321,61.3,2022-07-28,Q2-2022,Industrials,0.0023130746544844736,0.19938703521656162,0.035447869079974555,-0.14830949172847263,-1.555624028925097,0.6025652090581641,0.502843643233536,0.8737837157166688,0.5567442884075221,9.974885936691361,9.95473358153848,0.4919005636927871
11,217,Swedbank,Banks,459.984,-0.918,0.016,59194.0,2912005.0,0.00981,158026.203,37.102,0.12168,-173167.0,161578.0,158026.203,-0.22393000000000002,-0.09105,Sweden,Large Cap,SWED A,6.479,2022-07-19,SWED-A.ST,0.08059,7.969,3.385,0.978,-11229.0,2022-07-28,Q2-2022,Financials,-0.05946658745434846,0.0203275749869935,-0.003856106016301483,0.0012693623441892843,0.03591108461646421,0.279586289824624,0.22879295228349433,0.3239639843073455,0.8821164312648825,3.2797478909909406,-5.228055158420546,-0.23068250245771726
12,40,Boliden,Mining - Steel & Aluminum,498.851,15.652,0.912,16523.0,84436.0,0.22575,88932.102,47.739,0.22113,12987.0,51820.0,92613.102,-0.15281,0.03891,Sweden,Large Cap,BOL,6.329,2022-07-21,BOL.ST,0.07996,7.761,1.202,1.716,-5318.0,2022-07-28,Q2-2022,Materials,0.15380880193282487,0.19568667393055095,-0.06298261405087877,-0.042908009853760753,-0.8334047989884479,0.3947237936577419,0.37369798449005004,0.47186962041358554,1.0481673425400118,6.532589317310179,9.97993804240907,0.10901759259885724
13,1379,Byggpartner,Construction & Infrastructure,1.82,37.828,3.031,145.395,801.287,0.57972,829.455,52.345,0.30140999999999996,36.295,203.835,760.423,-0.44854999999999995,-0.32303,Sweden,First North,BYGGP,9.501,2022-05-18,BYGGP.ST,0.07862,9.4,0.313,4.069,-51.763,2022-07-28,Q1-2022,Industrials,0.04529588025264356,0.18145183935344017,-0.0645998250314806,-0.16247392953026174,-3.4917698525950662,0.43622834788249754,0.38923172479397994,0.42645942428078426,0.7736703067595215,-16.918089649826086,-17.71894856196052,-0.43112062640169513
14,177,Poolia,Outsourcing,0.817,11.071,2.964,173.9,688.3,0.60277,603.379,44.541,0.41930999999999996,76.6,206.4,593.079,-0.33159,0.10843,Sweden,Small Cap,POOL B,5.451,2022-07-26,POOL-B.ST,0.07812000000000001,6.912,0.291,2.923,-69.9,2022-07-28,Q2-2022,Industrials,0.11128868226064216,0.25265146011913414,-0.10155455469998549,-0.04635839682448917,-1.0094555072827232,0.44423239666217806,0.4314830672655988,0.4209018842581295,0.7687927298790502,0.909081489095843,-6.076154820934258,-0.1731748675406446
15,131,Lundin Mining,Mining,46.232,6.037,0.416,10675.8,68248.188,0.16892,41676.0,47.24,0.12841,13459.43,41013.84,37756.25,-0.26742,-0.26091000000000003,Sweden,Large Cap,LUMI,3.971,2022-07-27,LUMI.ST,0.07717,7.088,1.33,1.016,-5060.375,2022-07-28,Q2-2022,Materials,0.1972130014645957,0.15642613104980896,-0.07414665719769732,-0.07359337183088432,-1.3382645160310456,0.47674248004737374,0.44411821034244037,0.5040067834455453,1.0669836663901668,-1.122689249562588,-1.0591733521753235,-0.24299531212480907
