,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Performance - Perform. 1y.1,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility
438,1431,Unibap,IT Services,1.156,-12.608,0.229,3.144,62.715,-0.57668,438.048,31.048,-0.5384899999999999,-34.745,48.64,-0.047619999999999996,0.11888,0.41176,Sweden,First North,UNIBAP,-15.018,2021-11-11,UNIBAP.ST,0.41176,,-16.723,30.46,9.006,0.33555999999999997,2022-01-28,Q1-2022,Technology,-0.714329769736842,0.05013154747668022,0.00674418278225386,0.21547765840399663,0.4149491657382744,0.339404402006816,0.28685784251795976
439,1480,Urb-it,Personal Services,0.715,-15.19,0.593,-20.186,38.043,-11.568219999999998,1043.391,45.297,-17.416780000000003,-68.688,4.35,-0.09183999999999999,0.047060000000000005,0.62409,Sweden,First North,URBIT,-14.852,2021-11-29,URBIT.ST,0.62409,,-11.41,46.266,239.86,0.52087,2022-01-28,Q3-2021,Consumer Durables,-15.790344827586209,-0.5306100990983886,-0.0231319598550892,-0.388131126194496,0.513332492729567,0.4483980619211681,0.5462275496838481
440,238,Wallenstam,Real Estate,42.672,-32.839,0.036,1730.0,63504.0,0.03515,47124.0,26.565,0.12401999999999999,-1435.0,28899.0,-0.08285000000000001,-0.01856,0.10015,Sweden,Large Cap,WALL B,50.387,2021-10-22,WALL-B.ST,0.10015,0.0084,13.025,20.705,1.631,0.07676,2022-01-28,Q3-2021,Financials,-0.04965569742897678,0.027242378432854625,0.05789905612142232,2.399722704801331,0.23648548856124824,0.2367880582101034,0.22113122221334322
441,233,VBG Group,Industrial Components,1.846,22.818,0.77,1168.4,4462.7,0.14367000000000002,4636.692,27.568,0.12069,203.2,2734.2,0.09598000000000001,-0.027469999999999998,0.05988,Sweden,Mid Cap,VBG B,10.503,2021-10-21,VBG-B.ST,0.05988,0.025419999999999998,13.411,1.35,1.696,0.02577,2022-01-28,Q3-2021,Industrials,0.07431789920269183,0.2618145965446927,-0.0827352194851827,-3.39762290083492,0.2559854244400311,0.24283147364929808,0.2231798036424033
442,874,VEF,Holding Companies,6.074,-3.952,,,4697.246,0.23196000000000003,4867.494,44.8,0.22641999999999998,-1231.684,4683.549,-0.21776,-0.01891,0.25876,Sweden,First North,VEFAB,4.485,2021-11-03,VEFAB.ST,0.25876,,3.652,,1.039,0.81305,2022-01-28,Q3-2021,Financials,-0.2629809146867045,,0.021324618154742403,0.5319556311370564,0.47204930667641076,0.4372931214511563,0.367405366689159
443,1728,Veoneer,Auto & Equipment,94.828,-9.924,0.96,2217.54,15050.48,-0.35322000000000003,36826.59,13.35,-0.42829999999999996,-3710.92,7826.92,0.09308999999999999,0.22321000000000002,0.51661,Sweden,Large Cap,VNE SDB,-11.329,2021-10-26,VNE-SDB.ST,0.51661,,-10.969,2.549,4.705,-0.30484,2022-01-28,Q3-2021,Consumer Durables,-0.474122643389737,0.14734015127756722,-0.0016189224030340732,-0.0320078846023253,0.5803901166525567,0.3185290967145058,0.4635629344667461
444,1843,Vertiseit,IT Services,1.293,-6.627,0.435,68.833,239.726,0.01963,664.233,65.26,0.029820000000000003,-100.23,82.099,0.10154,0.2695,1.2375,Sweden,First North,VERT B,223.036,2021-11-03,VERT-B.ST,1.2375,,210.464,6.373,8.091,1.7958,2022-01-28,Q3-2021,Technology,-1.2208431284181294,0.28713197567222576,0.18192553658239374,3.4341014549039035,0.6193832915407335,0.5434597813204548,0.4855346023885053
445,355,Vestum,Holding Companies,45.655,-11.547,0.112,176.7,3018.0,0.00681,13034.67,67.663,0.006710000000000001,-1128.8,1042.5,-0.16136,0.42105,54.968450000000004,Sweden,First North,VESTUM,962.525,2021-11-29,VESTUM.ST,54.968450000000004,,1845.0,38.439,12.503,198.86756000000003,2022-01-28,Q3-2021,Financials,-1.0827817745803356,0.058548707753479125,0.02481396400555891,0.33714157309310383,1.5055423247278137,1.1087651354969725,0.6745645000356041
446,928,Vicore Pharma,Pharmaceuticals,3.283,-6.113,,-24.794,528.996,-2.82764,990.288,56.849,-0.59311,-161.996,462.598,-0.2069,-0.30931000000000003,-0.5384599999999999,Sweden,Small Cap,VICO,-1.995,2021-11-04,VICO.ST,-0.5384599999999999,,-3.609,,2.141,0.20214,2022-01-28,Q3-2021,Health Care,-0.35018741974673473,-0.046869919621320394,-0.018192585768910252,-0.3988921883653256,0.4869928222031958,0.43807047377801,0.41800217604990647
447,239,Wihlborgs Fastigheter,Real Estate,48.95,18.446,0.062,2181.0,48832.0,0.044050000000000006,28775.07,29.544,0.11707000000000001,1560.0,20278.0,-0.10259,-0.064,0.07094,Sweden,Large Cap,WIHL,24.652,2021-10-22,WIHL.ST,0.07094,0.02804,12.121,9.462,1.419,0.0014399999999999999,2022-01-28,Q3-2021,Financials,0.07693066377354768,0.04466333551769332,0.03149767533205616,1.0475567370187355,0.2737601429908805,0.2641337070087178,0.27557549166276646
448,2202,Vimian Group,Medical Supplies,42.644,-55.097,0.272,1099.278,5772.316,0.05082,24582.15,53.684,0.16264,-446.165,3611.139,-0.31582,-0.4556,-0.9407599999999999,Sweden,First North,VIMIAN,114.0,2021-11-30,VIMIAN.ST,,,33.747,15.645,6.807,,2022-01-28,Q3-2021,Health Care,-0.12355243041046052,0.19043967793862984,-0.14583147677984132,-2.8029344765738475,0.530887701826606,0.5133424080623,0.47684581044341146
449,252,Vitec Software,IT Services,27.625,-13.745,0.383,1509.982,3952.709,0.0944,13890.98,45.267,0.10332000000000001,-1010.643,1914.493,-0.20221,-0.07251,0.36723999999999996,Sweden,Large Cap,VIT B,52.19,2021-10-14,VIT-B.ST,0.36723999999999996,0.00414,66.753,9.187,7.256,0.8336100000000001,2022-01-28,Q3-2021,Technology,-0.527890673927771,0.38201193156389707,-0.04554849427227503,-1.2582799044420752,0.4037198568015059,0.37809749193974723,0.3317694609237427
450,235,Vitrolife,Medical Equipment,70.385,91.644,0.252,998.489,6140.833,0.47979999999999995,49573.602,49.239,0.07195,540.934,5771.466,-0.33636000000000005,-0.24255,0.6773600000000001,Sweden,Large Cap,VITR,82.503,2021-10-29,VITR.ST,0.6773600000000001,0.00219,98.192,32.004,8.589,1.7228299999999999,2022-01-28,Q3-2021,Health Care,0.09372558029450402,0.16259829896041791,0.004720957668580272,0.11152406143452857,0.4381484380537443,0.3939608701600449,0.3879727045567096
451,237,VNV Global,Holding Companies,37.257,-5.216,,,13122.82,0.05067,8427.841,33.452,0.04549,-1615.911,11853.59,-0.40133,-0.24606999999999998,-0.33377,Sweden,Mid Cap,VNV,13.714,2022-01-28,VNV.ST,-0.33377,,15.629,,0.711,0.30507,2022-01-28,Q4-2021,Financials,-0.13632249807864116,,-0.040334269345383644,-1.065266490229669,0.352699796905032,0.3484282902348451,0.3470208517234172
452,1401,Vo2 Cap,Medical Supplies,1.854,58.419,0.427,12.737,166.604,-0.14196999999999999,420.035,141.683,-0.1366,7.19,104.077,-0.55411,-0.84941,-0.51892,Sweden,First North,VO2,-30.319,2021-11-26,VO2.ST,-0.51892,,-27.666,5.909,4.036,44.37146,2022-01-28,Q3-2021,Health Care,0.0690834670484353,0.07645074548030059,-0.22071529436692283,-1.75890579105637,1.3366248923157835,1.0251170779127337,1.1500838175800507
453,1378,Volati,Holding Companies,12.021,12.895,1.185,2498.0,5459.0,0.23992000000000002,14338.77,54.381,0.26991,1112.0,1793.0,-0.06349,0.19756,0.56915,Sweden,Large Cap,VOLO,24.62,2021-10-26,VOLO.ST,0.56915,0.06328,28.801,2.217,7.997,-0.21408000000000002,2022-01-28,Q3-2021,Financials,0.6201896263245956,0.45759296574464187,0.09804486857498829,1.9640960969737031,0.48946849695294997,0.4504761921359058,0.4575112515514525
454,236,Volvo B,Industrial Machinery,794.843,13.08,0.722,89753.0,515856.0,0.17139,420627.688,23.346,0.2275,32158.0,141045.0,0.02705,0.01496,-0.00433,Sweden,Large Cap,VOLV B,11.021,2022-01-28,VOLV-B.ST,-0.00433,0.06283,12.829,1.13,2.982,0.00986,2022-01-28,Q4-2021,Industrials,0.22799815661668263,0.173988477404547,-0.021494334859004538,-0.8439537591881282,0.2508982921294096,0.22694010156996566,0.23342372833049843
455,2289,Volvo Car,Auto & Equipment,291.853,-726.708,1.202,59739.0,238990.0,0.22186,204931.703,43.405,0.21227000000000001,-282.0,67632.0,-0.5971500000000001,-0.9104800000000001,-0.9407599999999999,Sweden,Large Cap,VOLCAR B,9.204,2021-11-30,VOLCAR-B.ST,,,13.433,0.713,3.03,,2022-01-28,Q3-2021,Consumer Durables,-0.0041696238466997874,0.24996443365831206,0.11191180681443846,1.138079462505729,0.7273716438672757,0.6783968308437964,0.9012451990958541
456,2001,Wästbygg,Construction & Infrastructure,2.64,-10.012,1.105,581.0,3297.0,0.25781,3234.0,23.607,0.18065,-323.0,1712.0,0.001,-0.036610000000000004,0.04003999999999999,Sweden,Mid Cap,WBGR B,12.671,2021-11-09,WBGR-B.ST,0.04003999999999999,0.033,10.432,0.888,1.889,0.62174,2022-01-28,Q3-2021,Industrials,-0.1886682242990654,0.1762208067940552,0.02150005648906128,0.8153017112226083,0.2210982581421129,0.19943526834960595,0.24169122902784781
457,240,XANO Industri,Industrial Components,4.694,-88.37,0.893,722.0,3247.0,0.20736999999999997,8218.407,55.239,0.25201,-93.0,1246.0,-0.19713999999999998,-0.18550999999999998,0.89865,Sweden,Mid Cap,XANO B,21.212,2021-10-27,XANO-B.ST,0.89865,0.0089,25.889,2.836,6.596,0.45409999999999995,2022-01-28,Q3-2021,Industrials,-0.07463884430176565,0.22235910070834616,-0.02161458205060529,-0.39831181377124414,0.5309922725106925,0.5097847564503482,0.4973513460417651
458,983,Xbrane Biopharma,Biotechnology,3.906,-7.874,,,696.994,-1.7809700000000002,2191.0,55.07,-0.47348999999999997,-278.266,462.431,-0.34604,-0.43329,0.10759,Sweden,Mid Cap,XBRANE,-8.773,2021-10-29,XBRANE.ST,0.10759,,-10.006,,4.738,1.2051,2022-01-28,Q3-2021,Health Care,-0.6017459902125939,,-0.03291949613672629,-0.7448581812020388,0.5878789278988555,0.5421532156397522,0.4050598803732161
459,1524,Xspray Pharma,Biotechnology,1.517,-8.618,,-1.314,566.749,-0.18533999999999998,1319.384,93.813,-0.10981999999999999,-153.097,543.849,-0.00313,-0.56421,-0.45932,Sweden,Mid Cap,XSPRAY,-18.149,2021-10-26,XSPRAY.ST,-0.45932,,-20.368,,2.426,0.5413,2022-01-28,Q3-2021,Health Care,-0.28150644756173127,-0.0023184866669372158,-0.030898944241034565,-0.1984229731551058,0.8680695928476638,0.4952266064112708,1.4272213406264767
460,372,Xvivo Perfusion,Medical Equipment,18.586,-37.435,0.168,188.121,1542.596,-0.0178,7477.997,51.229,0.00634,-199.762,1285.45,-0.24441,-0.41590000000000005,-0.08977,Sweden,Mid Cap,XVIVO,-383.016,2022-01-27,XVIVO.ST,-0.08977,,893.235,28.941,5.817,0.34103,2022-01-28,Q4-2021,Health Care,-0.15540238826869968,0.12195091910001064,0.1743553018425037,3.4042487753312303,0.445309006910841,0.4277500438885848,0.4694112688238568
461,594,Zinzino,Health Products,1.033,14.6,2.236,424.002,554.151,-8.48059,1701.951,41.78,0.7041299999999999,116.574,135.251,-0.24288,-0.27338,-0.35256,Sweden,First North,ZZ B,12.375,2021-11-19,ZZ-B.ST,-0.35256,0.02475,17.713,1.374,12.584,0.26616,2022-01-28,Q3-2021,Food and Beverage,0.8619085995667315,0.7651380219470867,-0.04009987525892611,-0.7376503375194033,0.4127190356048511,0.38360047426617,0.4982325754781672
