,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,OCF,Total Equity,EV,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,EV/S,P/B,Cash.f.Fin.,Info - Stock price,Info - Report,Sector,CF_prof,GPA,Financing_Yield,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility,Beta,Res_Mom_1Y,Res_Mom_6m,Total_Mom_6m
0,132,Orrön Energy,Renewable Energy,1221.829,0.198,0.517,26496.199,71438.25,-2.9834699999999996,3266.693,164.522,,28197.9,-7739.25,2161.693,-0.96784,-0.88846,Sweden,Large Cap,ORRON,0.082,2022-04-27,ORRON.ST,1.67396,0.91,0.059,,-13002.45,2022-07-25,Q1-2022,Utilities,0.39471711583080493,0.37089652952025004,-0.18200963769409245,0.030547727223303234,0.5922521132273775,3.8149780159019757,0.8243007220644352,0.47272865451442075,0.8633208054353555,-7.230681879375432,-7.971679874659369,-0.9613855998651037
1,51,Clas Ohlson,Retailers,12.787,9.257,1.477,3604.8,5948.6,0.22275999999999999,7668.64,31.103,0.23518999999999998,986.1,2221.6,9001.74,0.06661,0.46863,Sweden,Mid Cap,CLAS B,12.513,2022-06-08,CLAS-B.ST,0.11121,14.172,1.025,3.452,-909.2,2022-07-25,Q4-2022,Consumer Durables,0.16577009716571967,0.6059913256900783,-0.15284268567394008,-0.008644927893273757,-0.2671780534773203,0.3546061173185117,0.2875138667589782,0.2965515762448278,0.8719557043128783,22.475648171575525,8.636927583615805,0.04827623917516588
2,1632,SSAB B,Mining - Steel & Aluminum,243.575,3.058,0.859,37051.0,139324.0,0.35394,49051.039,48.482,0.26064,18895.0,91919.0,41888.039,0.04498,0.2807,Sweden,Large Cap,SSAB B,1.338,2022-07-22,SSAB-B.ST,0.11022,2.046,0.35,0.534,-5163.0,2022-07-25,Q2-2022,Materials,0.13561913238207343,0.2659340817088226,-0.037057506244437426,-0.004503752495716107,-0.08961214201513136,0.41237766801329273,0.39917807814887213,0.4606247827326882,1.1678116752712195,11.49762367435387,16.36366536254871,0.2845693939958669
3,349,Tethys Oil,Oil & Gas -Exploration,12.877,17.664,0.407,657.9,2544.05,0.10331,2147.052,61.439,0.08896000000000001,626.45,2255.05,1676.152,-0.0084,0.28032,Sweden,Mid Cap,TETY,8.537,2022-05-10,TETY.ST,0.10784,10.561,1.618,0.952,-134.3,2022-07-25,Q1-2022,Energy,0.24624122953558303,0.2586034079518877,-0.05278984296692282,-0.2007439028812934,-2.9261403382121496,0.5444923944316631,0.4934018487131076,0.628762823328192,0.8486617086206791,13.854829756664698,9.928280276501305,0.173826814538661
4,27,BE Group,Industrial Components,7.998,19.724,1.621,1384.0,4178.0,0.36311,1597.628,80.918,0.41706000000000004,126.0,1688.0,2382.628,0.11131,0.7736799999999999,Sweden,Small Cap,BEGR,2.726,2022-07-13,BEGR.ST,0.09772,2.266,0.352,0.946,-107.0,2022-07-25,Q2-2022,Industrials,0.03015797032072762,0.331258975586405,-0.025610339875538537,0.05454773452864892,0.6932874269838127,0.6624283343754034,0.6341753611934275,0.721112521983545,0.8060898807538865,9.137888997655464,1.1657739086380858,0.10776565350770761
5,184,ProfilGruppen,Industrial Components,1.577,-10.956,1.516,344.8,1729.3,0.31707,1050.658,83.941,0.29063,4.0,526.1,1465.458,0.29091,0.35808,Sweden,Small Cap,PROF B,6.499,2022-07-14,PROF-B.ST,0.09507,6.648,0.559,1.997,61.3,2022-07-25,Q2-2022,Industrials,0.0023130746544844736,0.19938703521656162,0.035447869079974555,-0.14830949172847263,-1.555624028925097,0.6025652090581641,0.502843643233536,0.8737837157166688,0.5567442884075221,9.974885936691361,9.95473358153848,0.4919005636927871
6,1325,Bonava B,Real Estate,15.716,-2.981,0.634,2355.0,26632.0,0.09653,4081.531,46.618,0.11747999999999999,-1297.0,8771.0,9962.531,-0.51867,-0.56164,Sweden,Mid Cap,BONAV B,7.358,2022-07-21,BONAV-B.ST,0.09298999999999999,3.912,0.59,0.465,813.0,2022-07-25,Q2-2022,Financials,-0.048700811054370685,0.08842745569240013,0.030527185340943227,0.103756517184316,2.496230458463885,0.37027717535864824,0.3455170672183694,0.3809520809506568,1.269406099628036,-9.365992797060608,-10.743898249292645,-0.5233433241493393
7,45,Byggmax,Retailers,15.413,-8.927,1.117,2591.0,6728.0,0.17961,2794.067,45.801,0.20247,197.0,2188.0,5236.067,-0.38304000000000005,-0.27596,Sweden,Mid Cap,BMAX,8.324,2022-07-15,BMAX.ST,0.08393,6.307,0.696,1.277,163.0,2022-07-25,Q2-2022,Consumer Durables,0.029280618311533887,0.38510701545778836,0.024227110582639714,-0.12121675478329808,-2.5380012900479567,0.3881850424989604,0.35567253251636477,0.4377341780475357,0.8827346862474341,-11.916977942796844,-19.808466497340827,-0.41891584151952654
8,157,Nobia,Home Furnishings,9.207,-72.885,1.376,5444.0,10458.0,0.11571,5101.979,44.073,0.10532,1529.0,4377.0,7149.979,-0.37401,-0.5268200000000001,Sweden,Mid Cap,NOBI,10.07,2022-07-19,NOBI.ST,0.08344,10.974,0.497,1.166,195.0,2022-07-25,Q2-2022,Consumer Durables,0.14620386307133296,0.520558424172882,0.018646012621916237,-0.06625260543038891,-1.3871494796129094,0.3744586004157379,0.33566288129275595,0.43774313271201704,1.0888261685501492,-18.198137879206257,-4.629984611106959,-0.3846383024658806
9,1710,Arion Banki,Banks,0.867,4.11,0.041,3287.304,108622.203,0.02634,19871.6,31.87,0.16402999999999998,4793.661,14014.05,19871.6,0.03297,0.25661,Sweden,Large Cap,ARION SDB,7.295,2022-05-04,ARION-SDB.ST,0.08283,9.063,4.43,1.418,-3491.829,2022-07-25,Q1-2022,Financials,0.0441315022859553,0.030263646926770582,-0.032146549264886484,0.03999814574196259,1.2063821548091287,0.288817066429114,0.28278295204291876,0.3038747378510745,0.5384867309821001,6.095766331626561,2.1366149435626807,0.09633510452959593
