,Unnamed: 0,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility,Beta,Res_Mom_1Y,Res_Mom_6m,Total_Mom_6m
284,284,2207,OX2,Wind Energy,33.413,-123.239,1.309,978.011,4280.0,1.3181200000000002,22523.613,68.604,0.1608699999999999,-182.764,2469.0,0.78896,0.46543,-0.96105,Sweden,Large Cap,OX2,41.185,2022-04-27,OX2.ST,0.0,56.707,4.022,9.123,1.06381,2022-05-24,Q1-2022,Utilities,-0.074023491292021,0.2285072429906542,0.053415276869245,0.6073603623290439,0.5340272531696478,0.4892373680699938,0.8060438734647866,,-2.583931255312732,-1.5062247752206637,0.6171875355066727
285,285,738,Pandox,Real Estate,19.777,-42.609,0.051,1847.0,68222.0,0.03094,23477.645,37.08,0.06033,-551.0,26470.0,-0.03985,-0.08916,-0.1392,Sweden,Large Cap,PNDX B,34.141,2022-04-27,PNDX-B.ST,0.0,14.578,6.702,0.887,0.02588,2022-05-24,Q1-2022,Financials,-0.0208160181337363,0.0270733780891794,0.0081518779596402,0.1732935331128402,0.3228737800518977,0.3107846228947892,0.4311366631525568,1.3588752452952568,12.318171043216696,12.917988245267717,-0.0826743862314171
286,286,1137,Paradox Interactive,Gaming,15.654,208.299,0.592,666.1,2633.632,0.29191,19287.84,48.839,0.18512,92.597,1834.356,-0.03309,0.25446,0.00027,Sweden,First North,PDX,44.349,2022-05-03,PDX.ST,0.00547,56.799,12.372,10.515,0.05655,2022-05-24,Q1-2022,Consumer Durables,0.0504792962761862,0.252920681401198,0.2434978821845717,4.822346824136412,0.4958119884622001,0.4362140796218943,0.4627819264625643,0.6521236912608992,1.75370035674187,12.67118541652387,0.3605971039196822
287,287,1469,Paxman,Medical Equipment,0.682,-35.912,0.578,64.518,166.341,-0.17571,1026.648,47.829,-0.10159,-28.588,125.755,-0.00735,-0.12052,-0.1233799999999999,Sweden,First North,PAX,-91.767,2022-02-25,PAX.ST,,-67.686,10.672,8.164,1.15996,2022-05-23,Q4-2021,Health Care,-0.2273309212357361,0.3878658899489602,0.0267440109774208,0.5631403414391699,0.5167546398521659,0.4165439065753035,0.4352607890869756,0.6904825056086614,1.89286976629173,7.212182005024366,0.1042944440691289
288,288,175,Peab,Construction & Infrastructure,43.767,30.522,1.267,6050.0,47313.0,0.1694699999999999,21670.86,39.6,0.1774899999999999,710.0,13792.0,-0.17753,-0.3339399999999999,-0.34726,Sweden,Large Cap,PEAB B,10.86,2022-05-05,PEAB-B.ST,0.06831,8.821,0.362,1.571,0.13048,2022-05-24,Q1-2022,Industrials,0.0514791183294663,0.1278718322659734,-0.1274749691336022,-3.3778056838641275,0.2973589903410465,0.2712200097740607,0.3458835409375133,1.064425682430788,-12.06987638263388,1.3969460045743585,-0.1525276873217188
289,289,2176,Permascand,Industrial Components,1.343,105.079,0.904,156.8,519.0,0.23717,2070.059,63.445,0.16124,19.7,307.0,0.16801,-0.10052,-0.96105,Sweden,First North,PSCAND,28.586,2022-05-10,PSCAND.ST,0.0,41.821,4.414,6.743,0.27331,2022-05-24,Q1-2022,Industrials,0.0641693811074918,0.3021194605009634,0.0657089052254418,1.1417565658869675,0.5263825827415375,0.4684799832269039,0.5274610035534958,,-2.583931255312732,-1.5062247752206637,-0.0505983917459743
290,290,2073,Pfizer,Pharmaceuticals,4.912,,,280005.594,,,2903296.0,28.313,,,,0.1731899999999999,0.1052699999999999,0.56076,Sweden,Large Cap,PFE,41.783,,PFE.ST,0.02477,49.491,8.247,,-1.0,2022-05-24,Q4-2020,Health Care,,,-0.0075146509806407,-0.1388119031762349,0.3044056042565922,0.2649691613168519,0.49616,0.2880000178279644,21.910711734395907,15.004424659489136,0.3981143553316399
291,291,366,Platzer Fastigheter,Real Estate,18.403,77.672,0.045,935.0,26918.0,0.03749,11417.717,43.28,0.2236199999999999,147.0,12186.0,-0.05743,-0.35061,-0.14029,Sweden,Large Cap,PLAZ B,25.899,2022-04-20,PLAZ-B.ST,0.02311,4.186,9.366,0.937,0.13106,2022-05-24,Q1-2022,Financials,0.0120630231413097,0.0347351214800505,-0.0250850719648109,-0.4861982031286459,0.3649820630753426,0.345470224636118,0.4728698722144156,1.0030811738392873,-0.6036385421631953,-10.754259099825784,-0.2739362030204775
292,292,1014,Polygiene,Clothing & Footwear,5.256,-18.194,0.306,120.28,603.777,0.06474,509.186,93.05,0.11779,-27.986,569.308,-0.56232,-0.61385,-0.60114,Sweden,First North,POLYG,13.711,2022-04-28,POLYG.ST,0.0,7.593,2.757,0.894,0.26133,2022-05-24,Q1-2022,Consumer Durables,-0.0491579250598972,0.1992126232036,-0.0265644687268621,-0.184575296747068,0.7618060055479596,0.5015327846552238,1.3190680538788475,0.7749572434644697,-20.322589565132844,-14.940077945107449,-0.5710323652074696
293,293,177,Poolia,Outsourcing,1.629,8.858,2.944,178.0,678.0,0.75116,703.314,56.724,0.37382,79.4,243.0,-0.04968,-0.06458,0.50198,Sweden,Small Cap,POOL B,5.531,2022-04-26,POOL-B.ST,0.06702,7.695,0.352,2.894,0.25162,2022-05-24,Q1-2022,Industrials,0.3267489711934156,0.2625368731563421,-0.0331412560809254,-0.5945009373436948,0.4562763127856748,0.4315240176629357,0.5109237179518709,0.7410752349893912,11.593748544816846,3.791257147238451,0.1867744670329227
294,294,434,PowerCell,Renewable Energy,66.835,-65.425,0.324,49.231,494.542,-0.66613,7359.843,83.168,-0.23055,-112.492,360.503,0.02692,-0.37043,-0.29053,Sweden,First North,PCELL,-82.279,2022-04-28,PCELL.ST,0.0,-88.556,45.998,20.415,-0.11702,2022-05-24,Q1-2022,Utilities,-0.3120417860600328,0.0995486733179386,-0.1797102481137983,-2.024766613964438,0.6869909661629711,0.620247720560677,0.8134624597827749,1.7307312711287166,-2.2186756668598,3.4964887730750034,-0.0831702527474529
295,295,179,Prevas,IT Consulting,4.941,11.546,1.423,887.358,844.542,0.31495,1314.458,64.805,0.21931,113.849,502.011,-0.0096,0.1403299999999999,0.30605,Sweden,Small Cap,PREV B,8.779,2022-04-28,PREV-B.ST,0.03391,11.884,1.094,2.618,0.0481799999999999,2022-05-24,Q1-2022,Technology,0.2267858672419528,1.050697301022329,-0.0209887476021881,-0.2905883409823003,0.473885495541313,0.4221531556952348,0.6619847465608306,1.0660933817828964,-0.9750492571735946,0.2747508661233333,0.1756150246093277
296,296,180,Pricer,Electronic Equipment,3.73,-9.088,1.109,384.5,1658.5,0.08977,1816.612,57.099,0.06559,-199.9,791.3,-0.09608,-0.36501,-0.47262,Sweden,Mid Cap,PRIC B,28.244,2022-04-26,PRIC-B.ST,0.06109,34.822,0.988,2.296,0.2135999999999999,2022-05-24,Q1-2022,Technology,-0.252622267155314,0.2318359963822731,-0.0726488319461929,-0.994785408425925,0.4557186590734581,0.3957337840518138,0.6693278142676851,1.1433967314263456,-16.920725523484258,-11.164113223642913,-0.3561465656897703
297,297,181,Proact IT,IT Consulting,2.408,-324.094,1.054,838.1,3507.6,0.11709,1976.941,36.048,0.16968,-6.1,754.7,0.0697,-0.20674,-0.22418,Sweden,Mid Cap,PACT,12.816,2022-04-26,PACT.ST,0.02125,15.072,0.535,2.62,0.14343,2022-05-24,Q1-2022,Technology,-0.0080826818603418,0.2389383053940016,0.0645773264780372,1.7727931341263603,0.3458533110968069,0.3296106744059173,0.3338578890754984,0.8146463242821047,-3.9122878150512017,7.750302995422276,0.0227617144293754
298,298,182,Probi,Food Processing,0.86,67.706,0.443,279.58,1449.16,0.08837,3349.836,52.849,0.05743,49.476,1297.774,-0.16832,-0.35456,-0.40122,Sweden,Mid Cap,PROB,32.313,2022-04-26,PROB.ST,0.00442,44.947,5.221,2.581,0.08965,2022-05-24,Q1-2022,Food and Beverage,0.0381237411136299,0.1929255568743271,-0.115548782066354,-2.572568651028458,0.5707482379945029,0.5116071969375338,0.4116594051376128,0.4487705867260208,-9.33994452456307,0.1391670754830783,-0.1078980766189927
299,299,184,ProfilGruppen,Industrial Components,5.131,-11.432,1.459,304.9,1652.8,0.26183,1065.456,76.46,0.23121,-93.2,571.7,0.21008,0.25217,0.46335,Sweden,Small Cap,PROF B,7.164,2022-04-21,PROF-B.ST,0.09375,7.852,0.442,1.864,0.32521,2022-05-24,Q1-2022,Industrials,-0.163022564281966,0.184474830590513,0.1233418336446331,1.6568744936085675,0.5330357133552128,0.4242863151475333,0.6822765287431782,0.5186908190291333,12.873746206941169,6.589880840287834,0.2480204112114359
