,Unnamed: 0,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility,Beta,Res_Mom_1Y,Res_Mom_6m,Return 3m Rank,Return 6m Rank,Return 1y Rank,EA ret std Rank,Res_Mom_1Y Rank,Res_Mom_6m Rank,P/E Rank,P/B Rank,P/S Rank,P/FCF Rank,EV/EBIT Rank,Asset Growth Rank,Yield Rank,ROE Rank,ROC Rank,FCFROE Rank,GPA Rank,Assets Turn Rank,PMOM Rank,IMOM Rank,Momentum Rank,Quality Rank,Value Rank,Gestalt Rank
47,47,27,BE Group,Industrial Components,7.025,259.271,1.735,1102.0,3105.0,0.29827,1814.895,55.586,0.3503199999999999,7.0,1413.0,0.13878,0.58163,8.39498,Sweden,Small Cap,BEGR,3.311,2022-01-27,BEGR.ST,0.08602,3.659,0.337,1.284,0.28412,2022-03-03,Q4-2021,Industrials,0.0049539985845718,0.3549114331723027,0.1209975820471807,2.2804236028727183,0.5470519796592853,0.4696496090297911,0.4862961231758341,0.8932377656467297,5.517955021226474,1.66704672163933,38.0,7.0,1.0,32.0,15.0,76.0,4.0,38.0,10.0,153.0,6.0,233.0,5.0,21.0,41.0,157.0,108.0,17.0,2.5,33.0,3.5,40.0,29.0,1.0
330,330,177,Poolia,Outsourcing,2.602,7.685,2.987,162.1,636.8,0.96571,818.479,50.156,0.37752,106.5,212.7,0.07669,0.17,1.20297,Sweden,Small Cap,POOL B,7.145,2022-02-22,POOL-B.ST,0.05698,10.155,0.43,3.848,0.27641,2022-03-03,Q4-2021,Industrials,0.5007052186177715,0.2545540201005025,0.0283183646322831,0.4870464203729324,0.470883179990941,0.4432538354413661,0.5328898604179523,1.6063171306136663,4.941849388447131,3.131476217045095,54.0,27.0,18.0,126.0,20.0,37.0,33.0,231.0,24.0,19.0,26.0,230.0,23.0,15.0,10.0,11.0,161.0,2.0,16.0,20.0,20.0,17.0,52.0,2.0
43,43,1313,B3 Consulting,IT Consulting,1.76,12.442,1.647,283.5,559.7,0.3386099999999999,874.64,52.026,0.23279,70.3,194.6,0.38298,0.4942499999999999,1.33058,Sweden,Small Cap,B3,13.101,2022-02-18,B3.ST,0.03365,19.308,0.947,4.495,0.0927399999999999,2022-03-03,Q4-2021,Technology,0.3612538540596094,0.5065213507236019,0.2333668976975584,4.717970561419316,0.4466502514159259,0.411139476325762,0.4533396126466552,0.8400307411063783,6.837198437785803,3.819045865154238,13.0,11.0,14.0,2.0,7.0,24.0,109.0,253.0,72.0,51.0,84.0,120.0,60.0,57.0,33.0,20.0,64.0,20.5,8.0,9.5,1.0,16.0,80.0,3.0
66,66,38,Björn Borg,Clothing & Footwear,2.853,11.502,1.129,444.432,680.668,0.265,1189.5,51.112,0.2574099999999999,103.419,334.217,0.04878,0.22222,1.46174,Sweden,Small Cap,BORG,11.753,2022-02-25,BORG.ST,0.05285,13.827,1.494,3.559,0.09959,2022-03-03,Q4-2021,Consumer Durables,0.3094366833524327,0.6529350579136965,0.0979605843794522,1.909211854417401,0.4336961260761376,0.3721553003748497,0.4702587531103871,1.8140903514718767,12.415656304208278,7.6549049850567235,60.0,20.0,10.0,46.0,1.0,4.0,65.0,216.0,125.0,46.0,67.0,129.0,30.0,45.0,54.0,26.0,27.0,71.0,10.5,1.0,7.5,19.0,73.0,4.0
292,292,758,Nilörngruppen,Packaging,2.191,14.77,1.418,364.131,556.069,0.55932,990.834,47.36,0.31423,67.085,278.259,0.16021,0.21199,0.65413,Sweden,Small Cap,NIL B,7.948,2022-02-09,NIL-B.ST,0.0575399999999999,11.332,1.257,3.561,0.3592,2022-03-03,Q4-2021,Materials,0.2410883385622746,0.6548306055543467,0.0797555436079768,1.7946213830837958,0.4157684747154413,0.3423156751638558,0.4073124494347339,1.4875803143508417,4.672429420215171,3.873294646960212,32.0,22.0,36.0,47.0,23.0,22.0,45.0,217.0,104.0,64.0,29.0,260.0,22.0,25.0,23.0,43.0,26.0,34.0,22.5,15.5,9.0,9.5,83.0,5.0
100,100,51,Clas Ohlson,Retailers,32.361,6.209,1.305,3426.2,6395.4,0.21384,6861.76,42.945,0.2225,1105.2,2029.7,-0.05596,0.01357,0.3379999999999999,Sweden,Mid Cap,CLAS B,12.621,2021-12-08,CLAS-B.ST,0.05975,14.672,0.822,3.381,0.11706,2022-03-03,Q2-2022,Consumer Durables,0.544513967581416,0.5357288050786503,0.0801808682331284,2.440046960947228,0.3487079906672519,0.2784881114572501,0.3011703494615961,1.2699329881750818,2.33297083972387,3.371321912502448,111.0,64.0,60.0,28.0,70.0,28.0,78.0,207.0,60.0,15.0,81.0,144.0,18.0,62.0,77.0,9.0,57.0,39.5,56.0,40.0,27.0,21.0,57.0,6.0
311,311,343,Ogunsen,Outsourcing,0.882,11.587,2.802,180.9,150.0,3.09524,488.99,40.322,0.4403,42.2,80.4,0.03864,0.1901,0.69221,Sweden,First North,OGUN B,9.303,2022-02-25,OGUN-B.ST,0.07221,13.813,1.161,6.082,0.24585,2022-03-03,Q4-2021,Industrials,0.5248756218905473,1.206,0.0975443018503117,2.1598197209069774,0.3592917960695654,0.2898236200508999,0.4139272759792776,1.651248686535023,8.670249583383336,3.966904070973906,64.0,24.0,32.0,35.0,3.0,21.0,64.0,294.0,96.0,47.0,43.0,219.0,9.0,9.0,4.0,10.0,5.0,4.0,21.0,6.0,13.5,1.0,91.0,7.0
386,386,1632,SSAB B,Mining - Steel & Aluminum,378.309,4.748,0.856,23466.0,112019.0,0.26,59833.414,38.914,0.19946,12602.0,73477.0,0.4668,0.44671,0.7056100000000001,Sweden,Large Cap,SSAB B,3.052,2022-01-28,SSAB-B.ST,0.09036,4.081,0.624,0.814,0.26431,2022-03-03,Q4-2021,Materials,0.1715094519373409,0.2094823199635776,0.0114806766833317,0.312181312157819,0.3744459881716419,0.3600120628232712,0.337054576182225,1.0561667027750443,1.867282547043073,4.396877145380534,10.0,13.0,29.0,145.0,83.0,11.0,6.0,12.0,42.0,5.0,4.0,227.0,4.0,78.0,55.0,72.0,221.0,131.0,14.5,35.5,18.0,86.0,7.5,8.0
347,347,191,Rottneros,Forest & Wood Products,1.16,9.594,0.967,1178.0,2382.0,0.15541,1583.026,40.594,0.12967,165.0,1527.0,-0.00386,-0.11644,0.69845,Sweden,Mid Cap,RROS,5.869,2022-02-04,RROS.ST,0.05814,7.953,0.687,1.037,0.05538,2022-03-03,Q4-2021,Materials,0.1080550098231827,0.4945424013434089,0.0515670805818759,1.286128637659729,0.3477197998463598,0.3057294116121818,0.3674749837844054,0.8958712576298825,1.310919508783151,2.894524397072553,83.0,113.0,30.0,77.0,96.0,39.0,15.0,25.0,49.0,31.0,17.0,91.0,21.0,136.0,116.0,104.0,69.0,101.0,60.0,59.5,33.5,78.0,3.0,9.0
335,335,184,ProfilGruppen,Industrial Components,0.639,32.032,1.461,289.5,1450.5,0.24382,1050.658,41.392,0.23109,32.8,538.9,0.2511,0.0881199999999999,0.6561100000000001,Sweden,Small Cap,PROF B,7.052,2022-02-10,PROF-B.ST,0.09507,8.228,0.496,1.95,0.26087,2022-03-03,Q4-2021,Industrials,0.0608647244386713,0.1995863495346432,0.1003528492841794,3.680307751988546,0.3693729174896483,0.2991169845272678,0.2499109091084937,0.6738059854271671,7.254303764957624,2.3260972583562336,23.0,43.0,35.0,6.0,6.0,55.0,19.0,105.0,31.0,93.0,24.0,224.0,2.0,59.0,65.0,125.0,232.0,29.0,31.0,23.5,6.0,70.0,40.0,10.0
