,Unnamed: 0,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility,Beta,Res_Mom_1Y,Res_Mom_6m
0,0,1398,AAC Clyde Space,Satellite Systems,2.392,-7.169,0.204,127.591,880.341,-0.05916,410.347,57.718,-0.05817,-57.241,678.809,-0.32114,-0.30456,-0.31571,Sweden,First North,AAC,-8.398,2022-02-17,AAC.ST,,-10.08,1.946,0.605,0.38364,2022-03-03,Q4-2021,Technology,-0.084325635046088,0.1449336109530284,-0.0664111204892144,-0.9814305467326098,0.5176665523867942,0.4541348191840328,0.6201844595969638,1.477475843932116,3.0163529452376885,1.4483254223885524
1,1,2,AAK,Food Processing,45.808,-305.384,1.305,7941.0,27166.0,0.14911,43364.549,20.7,0.12146,-142.0,11783.0,-0.0755,-0.18883,-0.06484,Sweden,Large Cap,AAK,22.586,2022-02-04,AAK.ST,0.0149,29.935,1.217,3.68,0.21941,2022-03-03,Q4-2021,Food and Beverage,-0.0120512602902486,0.2923139218140322,0.021856825249245,0.928870132231186,0.1817479717867853,0.1769093201532329,0.2156610546094264,0.4295124718381861,-4.584449781092677,-2.287833603466244
2,2,3,ABB,Industrial Machinery,368.358,14.023,0.59,79522.797,338184.0,0.27848,663988.063,23.545,0.28984,47350.801,130863.602,0.00279,0.00685,0.32183,Sweden,Large Cap,ABB,13.807,2022-02-03,ABB.ST,0.02322,16.657,2.731,5.074,-0.02015,2022-03-03,Q4-2021,Industrials,0.3618332391614897,0.2351465385707189,-0.0117264879021167,-0.4989070206890111,0.208585428357752,0.1934755380964803,0.2154209751276703,0.9373057448624228,3.156317925084525,2.299548688092772
3,3,437,Absolent Air Care,Installation,0.94,-26.842,0.862,413.474,1194.979,0.04824,4279.338,35.666,0.01167,-159.428,355.092,-0.24248,-0.19574,-0.04187,Sweden,First North,ABSO,126.428,2022-02-24,ABSO.ST,0.00529,1032.505,4.155,12.051,0.0604399999999999,2022-03-03,Q4-2021,Industrials,-0.4489766032464826,0.3460094277807392,0.0217520569725996,0.6321103339714147,0.3589854388596648,0.3250790221162367,0.3153893940371414,0.5607652649766168,-0.1393313758936652,-1.044831627214878
4,4,1323,AcadeMedia,Education,15.327,2.186,0.761,11382.0,18330.0,0.09407,5490.449,35.56,0.12074,2512.0,5425.0,-0.0189,-0.3144,-0.41223,Sweden,Mid Cap,ACAD,5.369,2022-02-01,ACAD.ST,0.03372,8.331,0.394,1.012,0.05642,2022-03-03,Q2-2022,Industrials,0.4630414746543779,0.6209492635024549,0.0039691021037095,0.1209998012891514,0.3691379090244869,0.3227308097677738,0.3006403421736603,0.8785824597161526,-3.622817442077232,0.1492254176432739
5,5,2198,Acast,Online Services,13.336,-23.689,0.55,373.476,1864.981,-1.36358,3361.224,70.777,-0.20096,-141.889,1494.808,-0.27063,-0.32674,-0.94954,Sweden,First North,ACAST,-9.221,2022-02-11,ACAST.ST,,-11.19,3.277,2.249,1.71216,2022-03-03,Q4-2021,Technology,-0.0949212206517492,0.2002572680365108,-0.0039226607239044,-0.0438859424801426,0.6307018758991206,0.5692371312000051,0.8192094633062108,,0.0339904601387046,-0.1373489980930668
6,6,1572,Acconeer,Measuring & Analysis,7.845,-19.271,0.14,27.544,223.223,-1.19283,1072.566,69.959,-0.25608,-55.656,199.698,-0.41841,-0.41268,0.3322699999999999,Sweden,First North,ACCON,-17.92,2022-02-18,ACCON.ST,,-19.0,34.425,5.371,0.7379300000000001,2022-03-03,Q4-2021,Industrials,-0.2787008382657813,0.1233923027645,-0.128069094682418,-1.7502482569936288,0.7135837952236115,0.6972915322207065,0.6706320868729005,1.7380992990630009,0.6945004267567009,-4.255721068035381
7,7,2107,ACQ Bure SPAC,Investment Banking,4.423,-490.0,,,3442.2,-0.00233,3430.0,11.214,-0.00212,-7.0,3439.8,-0.02244,-0.02778,-0.94954,Sweden,Mid Cap,ACQ SPAC,-427.479,2022-02-17,ACQ-SPAC.ST,,-470.024,,0.997,172.84848000000002,2022-03-03,Q4-2021,Financials,-0.002035002035002,,0.0377000015165469,3.3351098367825784,0.1195621729488862,0.1044062740857948,0.1036026512495271,,0.0339904601387046,-0.1373489980930668
8,8,1015,AddLife,Biotechnology,91.819,-13.496,0.754,2857.0,10596.0,0.18655,26547.16,68.615,0.16756,-1967.0,4291.0,-0.30823,-0.3701299999999999,0.19515,Sweden,Large Cap,ALIF B,30.539,2022-02-04,ALIF-B.ST,0.00923,36.009,3.321,6.187,1.5532499999999998,2022-03-03,Q4-2021,Health Care,-0.4584013050570962,0.2696300490751226,-0.2170555660455805,-3.3679177597955934,0.6151449604040832,0.5227154638740525,0.5906756829333794,1.0779215801708133,0.5016301020838353,-3.412302089715121
9,9,7,Addnode,IT Consulting,14.349,332.008,0.943,2309.0,4322.0,0.13997,12948.32,44.108,0.13172,39.0,1693.0,0.07692,-0.02036,0.59091,Sweden,Mid Cap,ANOD B,43.66,2022-02-04,ANOD-B.ST,0.00779,57.885,3.176,7.648,0.13201,2022-03-03,Q4-2021,Technology,0.0230360307147076,0.534243405830634,0.0520377123751252,1.0350978285054535,0.3930327529031129,0.3435458000600333,0.4607617741709814,1.167697821799375,2.8182176966833614,1.2008506449477878
