,Unnamed: 0,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility,Beta,Res_Mom_1Y,Res_Mom_6m
329,329,970,Randviken Fastigheter,Real Estate,1.606,-0.592,0.015,81.057,6891.456,0.01102,2643.9,44.368,0.1262899999999999,-4465.537,2671.568,-0.23077,0.15385,0.25,Sweden,First North,RFAST,99.644,2022-02-23,RFAST.ST,,7.822,26.233,0.99,129.75773999999998,2022-03-30,Q4-2021,Financials,-1.671504150371617,0.0117619556738082,0.0683827814449284,0.0626594332081066,4.938497400156133,1.120147436440927,10.002301526163947,,-0.0409922743251961,-0.1521971008184931
330,330,185,Ratos B,Holding Companies,37.163,13.519,0.794,9289.0,28385.0,0.0841499999999999,16087.57,43.777,0.19788,1190.0,13326.0,-0.14513,-0.03806,0.0805,Sweden,Large Cap,RATO B,13.247,2022-02-14,RATO-B.ST,0.02422,6.064,0.708,1.207,-0.00883,2022-03-30,Q4-2021,Financials,0.0892991145129821,0.3272503082614056,0.0596787971860058,1.5374427856528246,0.3615678153882685,0.3270324229562923,0.3557629695763464,1.3621576974544236,-2.056337223379095,-0.6057868063538343
331,331,186,RaySearch Laboratories,Medical Equipment,2.145,171.7,0.366,591.682,1752.156,-0.0466899999999999,1755.29,53.488,-0.07285,10.223,649.323,-0.09381,-0.16748,-0.43174,Sweden,Mid Cap,RAY B,-41.383,2022-02-23,RAY-B.ST,,-37.11,2.738,2.703,0.36365,2022-03-30,Q4-2021,Health Care,0.0157440903833685,0.337687968422903,0.1579767291426188,3.431233468458096,0.4436077439400134,0.4044737872607217,0.4219708894731121,1.2802236514190213,-2.0119469609526965,0.7219441240575057
332,332,2035,Re:NewCell,Energy & Recycling,12.801,-8.927,0.002,-9.778,1115.133,-0.3094699999999999,3837.555,58.839,-0.1979,-429.869,674.235,-0.4326,-0.42949,-0.47515,Sweden,First North,RENEW,-27.921,2022-02-16,RENEW.ST,,-28.761,632.008,5.692,0.3479399999999999,2022-03-30,Q4-2021,Industrials,-0.6375655372385,-0.0087684608024334,-0.0684744480101533,-1.244329877937803,0.5402555194803927,0.5041475271622055,0.5043507300441605,,-0.0409922743251961,-0.1521971008184931
333,333,188,Rejlers,Business Consultants,1.45,72.343,1.234,1106.4,2349.7,0.09002,2720.115,43.013,0.09066,37.6,1215.5,-0.07407,-0.14122,-0.1233799999999999,Sweden,Mid Cap,REJL B,23.317,2022-02-03,REJL-B.ST,0.02222,24.117,0.936,2.238,0.04949,2022-03-30,Q4-2021,Industrials,0.0309337721102427,0.4708686215261523,0.0314073148505662,0.74132174811773,0.379458410735229,0.3734367314195264,0.3882967093396899,1.3224128126115695,-2.821652809109322,-1.254177769463212
334,334,1082,Resurs Holding,Consumer Lending,31.301,13.756,0.071,1942.342,42961.789,0.02657,5582.0,42.133,0.12615,405.797,7201.25,-0.26591,-0.31543,-0.42572,Sweden,Mid Cap,RESURS,4.915,2022-02-08,RESURS.ST,0.04694,6.144,1.819,0.775,0.0363799999999999,2022-03-30,Q4-2021,Financials,0.0563509113001215,0.0452109198711441,-0.2494292909278556,-7.805010704212024,0.356830384889213,0.2726338391417164,0.2928961021409535,1.3511505486729818,-0.85059676163768,-0.6309043032142124
335,335,2193,Revolutionrace,Clothing & Footwear,20.661,35.835,1.087,1148.123,1419.3,0.48861,9146.439,46.112,0.38339,255.24,835.5,-0.22636,0.14085,-0.93249,Sweden,Mid Cap,RVRC,21.732,2022-02-08,RVRC.ST,0.0079,28.554,5.794,10.947,,2022-03-30,Q2-2022,Consumer Durables,0.3054937163375224,0.808936095258226,-0.0534231109516269,-1.1672262673344935,0.4387369448009393,0.4025130659432153,0.4194824202421722,,-0.0409922743251961,-0.1521971008184931
336,336,191,Rottneros,Forest & Wood Products,1.193,10.291,0.967,1178.0,2382.0,0.15541,1698.072,44.212,0.12967,165.0,1527.0,0.06238,0.20326,0.55416,Sweden,Mid Cap,RROS,6.3,2022-02-04,RROS.ST,0.0542,8.53,0.737,1.112,0.05538,2022-03-30,Q4-2021,Materials,0.1080550098231827,0.4945424013434089,0.0515670805818759,1.286128637659729,0.3490440138904106,0.3055330272432589,0.3674749837844054,0.8845036159667726,1.8515183534456972,4.201303947576808
337,337,2101,RugVista,Home Furnishings,4.985,21.019,0.983,455.698,717.384,0.42701,2153.326,35.935,0.20095,102.448,496.899,-0.17908,-0.24655,-0.18425,Sweden,First North,RUG,15.382,2022-02-17,RUG.ST,0.02413,21.566,3.048,4.334,0.21039,2022-03-30,Q4-2021,Consumer Durables,0.2061746954612506,0.6352218616528944,-0.0402056893783898,-1.2398667017730018,0.3612230233434924,0.3348346064493332,0.2972022955062564,,-0.0409922743251961,-0.1521971008184931
338,338,193,Saab,Military & Defense,257.706,45.717,0.602,8205.0,65039.0,0.07595,46174.055,46.943,0.08284,1010.0,22976.0,0.4759,0.36616,0.43593,Sweden,Large Cap,SAAB B,16.724,2022-02-11,SAAB-B.ST,0.0144199999999999,23.324,1.179,2.01,0.07382,2022-03-30,Q4-2021,Industrials,0.043958913649025,0.1261550761850582,0.0127474086294303,0.4655134932840422,0.34589019835921,0.2654019619883594,0.2509743146081234,1.2796301285118608,3.6136153124362655,2.4074430476526234
339,339,194,Sagax A,Real Estate,0.575,-26.982,0.05,2573.0,62472.0,0.0417499999999999,125302.115,47.903,0.31555,-4644.0,31079.0,-0.07261,0.02182,0.48677,Sweden,Large Cap,SAGA A,60.511,2022-02-11,SAGA-A.ST,0.00765,9.086,40.122,4.032,0.33997,2022-03-30,Q4-2021,Financials,-0.1494256571961774,0.0411864515302855,-0.0142650297245293,-0.2903694914644773,0.4226548129149708,0.4052409520195837,0.4502578984710456,1.0681500144626173,1.4307029154969533,-0.3730936822945553
340,340,438,Samhällsbyggnadsbolag B,Real Estate,648.303,-1.596,0.03,4047.0,194739.0,0.02357,69644.818,53.856,0.2962,-43642.0,83832.0,-0.36375,-0.1283,0.60338,Sweden,Large Cap,SBB B,39.341,2022-02-23,SBB-B.ST,0.03124,2.436,11.744,0.831,0.61971,2022-03-30,Q4-2021,Financials,-0.5205887966409009,0.0207816616086146,-0.0377518840766452,-0.8219884448041199,0.4081651699344524,0.3670838915532193,0.420932599483563,1.1081082244721183,1.3315928372832424,-2.1531591619051857
341,341,195,Sandvik,Industrial Machinery,595.418,-19.722,0.637,40173.0,155517.0,0.1871999999999999,255894.744,35.095,0.187,-12975.0,77332.0,-0.1924,0.0139199999999999,-0.14107,Sweden,Large Cap,SAND,15.16,2022-01-20,SAND.ST,0.02328,17.696,2.582,3.309,0.30546,2022-03-30,Q4-2021,Industrials,-0.1677830652252625,0.2583190262157835,-0.0010233901981728,-0.0375890230021363,0.3049358098236789,0.2850771847311932,0.2495283289664933,1.2999886005451842,-1.717097396051914,1.5480146097868095
342,342,196,SAS,Airlines,75.501,-6.413,0.327,11493.0,52652.0,-0.14961,7869.12,78.91,-1.83382,-1227.0,3803.0,-0.15092,-0.43594,1.7929,Sweden,Large Cap,SAS,-7.971,2022-02-22,SAS.ST,,-1.128,0.457,2.069,0.03623,2022-03-30,Q1-2022,Industrials,-0.3226400210360242,0.2182823064650915,-0.1992948606297816,-2.631370955142414,0.6066550080148208,0.5088531106434644,0.6941505397913161,2.6563649208786573,2.7229682082403537,0.5643253836851987
343,343,197,SCA B,Forest & Wood Products,291.125,121.982,0.159,17018.0,118233.0,0.06909,126983.434,27.91,0.07346,1041.0,83055.0,0.12473,0.32551,0.11993,Sweden,Large Cap,SCA B,17.649,2022-01-28,SCA-B.ST,0.01798,20.812,5.914,1.529,0.12961,2022-03-30,Q4-2021,Materials,0.0125338631027632,0.1439361261238402,-0.0026217273052349,-0.1021518774232905,0.2527017548502674,0.241913086225684,0.2352235540025881,0.5904370632112438,-0.5642725188198898,3.342413495346733
344,344,380,Scandi Standard,Food Processing,13.775,17.592,1.555,3919.0,6494.0,0.05398,2374.893,33.315,0.05331,135.0,1951.0,-0.12317,-0.31524,-0.42295,Sweden,Mid Cap,SCST,19.617,2022-02-11,SCST.ST,0.0347699999999999,22.565,0.235,1.217,0.01707,2022-03-30,Q4-2021,Food and Beverage,0.0691952844695028,0.6034801355097013,0.083883119358044,2.3806121423226765,0.2892044677378245,0.2462439630385386,0.3229427735441244,0.6590048159742081,-4.126790097308688,-2.337305079385241
345,345,922,Scandic Hotels,Hotels,89.549,2.597,0.225,9291.0,44755.0,-0.0113,8277.646,47.081,-1.45541,3188.0,1115.0,0.18608,0.21097,0.2851599999999999,Sweden,Mid Cap,SHOT,-25.751,2022-02-10,SHOT.ST,,-4.924,0.817,7.424,0.16906,2022-03-30,Q4-2021,Consumer Durables,2.859192825112108,0.2075969165456373,0.0363391672928199,0.664542250941195,0.4085357881608081,0.3867905569840451,0.5011780201338824,2.8611239116284963,3.934883284195161,2.6554781004245727
346,346,2056,Scandinavian Biogas,Biomass Energy,1.806,-519.239,0.238,256.426,1653.157,0.0051,690.068,79.86,-0.06828,-1.329,500.049,-0.29375,-0.35429,-0.48402,Sweden,First North,BIOGAS,239.459,2022-02-17,BIOGAS.ST,,-20.211,1.53,1.38,0.07383,2022-03-30,Q4-2021,Utilities,-0.0026577395415249,0.155112914260412,0.0351761251447092,0.4758453728752564,0.6162419381680462,0.4800674730889454,0.6775194856129354,,-0.0409922743251961,-0.1521971008184931
