,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,P/S,P/B,Asset Growth,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility
29,2197,Aros Bostadsutveckling,Real Estate,3.511,15.779,0.134,,977.35,0.26478,2303.645,34.701,0.15835000000000002,145.996,819.246,-0.01119,-0.03461,-0.95301,Sweden,First North,AROS,15.278,2021-11-26,AROS.ST,,13.177,12.047,2.812,,Q3-2021,Financials,0.17820776665372795,,0.05924602517494093,2.073932098083592,0.2894300691250051,0.25896829248581077,0.2618209103762886
30,1793,Ascelia Pharma,Pharmaceuticals,3.033,-6.198,,,333.493,-2.94836,722.638,38.991,-0.409,-116.597,307.834,-0.30333,-0.25755,-0.4921,Sweden,Small Cap,ACE,-3.346,2022-02-10,ACE.ST,,-5.61,,2.347,0.3059,Q4-2021,Health Care,-0.3787658283360512,,0.0147819974675516,0.3350889811071882,0.39309085550625267,0.3705522879892331,0.4043082651890138
31,1473,Aspire Global,Gambling & Casinos,18.719,8.85,0.983,760.324,2254.295,0.28465,4994.266,68.516,0.63144,564.322,1362.97,0.30351,0.46269,0.85223,Sweden,First North,ASPIRE,15.671,2022-02-17,ASPIRE.ST,,5.759,2.254,3.664,0.48220999999999997,Q4-2021,Consumer Durables,0.41403846012751566,0.3372779516434184,0.048396842876610724,0.5998062510943565,0.4952932366798765,0.3783758954532951,0.7395127859181451
32,17,Assa Abloy,Construction Supplies,402.918,29.009,0.731,37777.0,129975.0,0.15027,271579.802,28.274,0.15663,9362.0,69583.0,-0.08336,-0.12572,0.12592,Sweden,Large Cap,ASSA B,21.06,2022-02-04,ASSA-B.ST,0.01721,24.875,2.859,3.903,0.10685,Q4-2021,Industrials,0.13454435709871665,0.2906482015772264,0.09763801748063572,3.471969700923778,0.2410956763902983,0.21805169080017242,0.2577405014170413
33,18,AstraZeneca,Pharmaceuticals,599.061,-40.038,0.355,210831.203,889263.812,0.01381,1721715.504,26.28,0.0028499999999999997,-43001.801,331421.906,0.07821,0.09349,0.33285,Sweden,Large Cap,AZN,216.209,2022-02-10,AZN.ST,0.01618,1758.784,5.452,5.195,0.57897,Q4-2021,Health Care,-0.12974942277955517,0.2370851036047782,0.0364078624300761,1.2234844828985192,0.235978220913616,0.21502845733067935,0.2727321642561464
34,19,Atlas Copco A,Industrial Machinery,619.326,33.811,0.811,46529.0,136683.0,0.3064,575827.768,32.078,0.26806,17031.0,67633.0,-0.17611000000000002,-0.22132000000000002,-0.05317,Sweden,Large Cap,ATCO A,24.788,2022-01-25,ATCO-A.ST,0.01623,31.453,5.192,8.514,0.20568,Q4-2021,Industrials,0.25181494240977037,0.3404154137676229,-0.04634333694840642,-1.4872416176805585,0.2672126652519312,0.2535534124783315,0.285591590496402
35,20,Atrium Ljungberg,Real Estate,20.835,-145.088,0.042,3084.0,54285.0,0.031709999999999995,25245.38,29.599,0.1471,-174.0,25541.0,-0.08366,-0.12833,0.18883,Sweden,Large Cap,ATRLJ B,27.678,2022-02-10,ATRLJ-B.ST,0.027440000000000003,6.39,8.186,0.988,0.09412000000000001,Q4-2021,Financials,-0.006812575858423711,0.05681127383255043,0.04082900792317079,1.2077091250339285,0.26070410956193246,0.24979277816737044,0.3098461632516449
36,920,Attendo,Healthcare Facilities,12.971,4.94,0.611,4182.0,21076.0,0.04332,4767.372,28.726,0.0113,965.0,4957.0,-0.12655,-0.30066,-0.35418,Sweden,Mid Cap,ATT,24.018,2022-02-10,ATT.ST,,84.885,0.37,0.962,0.050019999999999995,Q4-2021,Health Care,0.19467419810369174,0.19842474852913267,-0.04224440769574134,-1.2864929609806364,0.2782630130348897,0.25017761730351407,0.30095492447427935
37,21,Autoliv,Auto & Equipment,206.085,34.853,1.092,12677.29,63235.43,0.14967,87726.106,29.674,0.16427,2517.0,22090.869,-0.059930000000000004,0.07292,0.1406,Sweden,Large Cap,ALIV SDB,17.049,2022-01-28,ALIV-SDB.ST,0.025169999999999998,20.6,1.27,3.971,-0.18481000000000003,Q4-2021,Consumer Durables,0.11393847838217683,0.2004776436247844,-0.0188639885301094,-0.558628219945964,0.2797977580251245,0.2589091903074623,0.30949261874513595
38,22,Avanza Bank,Retail & Mortgage Banks,142.523,20.422,0.012,2548.0,279082.0,0.00873,38986.343,37.243,0.43553,1909.0,4700.0,-0.27864,-0.17674,-0.02642,Sweden,Large Cap,AZA,15.998,2022-01-20,AZA.ST,0.03671,18.994,11.81,8.295,0.36286999999999997,Q4-2021,Financials,0.40617021276595744,0.009129933137930788,0.025642039854113508,0.7021667457003663,0.34966088998443695,0.34917661355360086,0.3346971052790154
