,Unnamed: 0,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility,Beta,Res_Mom_1Y,Res_Mom_6m
0,0,1398,AAC Clyde Space,Satellite Systems,1.442,-7.225,0.204,127.591,880.341,-0.05916,413.588,47.26,-0.05817,-57.241,678.809,-0.19475,-0.23082,-0.13468,Sweden,First North,AAC,-8.482,2022-02-17,AAC.ST,,-10.132,1.962,0.609,0.38364,2022-04-28,Q4-2021,Technology,-0.084325635046088,0.1449336109530284,-0.0664111204892144,-0.9814305467326098,0.5232101829090756,0.4579297019902856,0.6201844595969638,1.4084790988264082,6.264164587902172,1.858942505643555
1,1,2,AAK,Food Processing,53.987,-28.848,1.275,8528.0,30661.0,0.14941,43762.919,23.799,0.1199399999999999,-1517.0,12698.0,-0.024,-0.10021,-0.10751,Sweden,Large Cap,AAK,22.238,2022-04-27,AAK.ST,0.01481,28.622,1.115,3.446,0.3335499999999999,2022-04-28,Q1-2022,Food and Beverage,-0.1194676326980626,0.2781383516519357,-0.0034557332712562,-0.1289987596136219,0.2001575732436672,0.1939684118200892,0.2455242103806539,0.3751147405178564,-2.80676283938103,-1.17936168917189
2,2,3,ABB,Industrial Machinery,372.034,15.662,0.563,79632.0,355076.406,0.30094,596644.809,25.567,0.34536,38094.0,111274.797,-0.07775,0.02613,0.06537,Sweden,Large Cap,ABB,12.773,2022-04-21,ABB.ST,0.02584,14.22,2.449,5.362,0.04162,2022-04-28,Q1-2022,Industrials,0.3423416714927819,0.2242672243336832,0.0183095955192263,0.6547839985989569,0.2200173093942125,0.2047116612109719,0.2562833166064266,0.9255747371685916,1.7861284745079895,2.7806714441631684
3,3,1323,AcadeMedia,Education,11.7,2.31,0.761,11382.0,18330.0,0.09407,5802.527,35.967,0.12074,2512.0,5425.0,0.0271499999999999,-0.05431,-0.39325,Sweden,Mid Cap,ACAD,5.619,2022-02-01,ACAD.ST,0.03191,8.804,0.416,1.07,0.05642,2022-04-28,Q2-2022,Industrials,0.4630414746543779,0.6209492635024549,0.0039691021037095,0.1209998012891514,0.3726962040495236,0.3237035517001067,0.3006403421736603,0.7798609940007881,-3.57073097953813,0.7167565646304573
4,4,2198,Acast,Online Services,7.596,-19.462,0.55,373.476,1864.981,-1.36358,2761.394,67.875,-0.20096,-141.889,1494.808,-0.17158,-0.36262,-0.94345,Sweden,First North,ACAST,-6.514,2022-02-11,ACAST.ST,,-9.406,2.692,1.847,1.71216,2022-04-28,Q4-2021,Technology,-0.0949212206517492,0.2002572680365108,-0.0039226607239044,-0.0438859424801426,0.628484444844347,0.57904322690373,0.8192094633062108,,-0.7618721400511916,0.2271366935486749
5,5,1572,Acconeer,Measuring & Analysis,7.283,-24.25,0.168,27.989,201.113,-0.98277,1463.525,71.541,-0.28632,-60.352,185.606,-0.0896,-0.21733,0.3743999999999999,Sweden,First North,ACCON,-25.106,2022-04-22,ACCON.ST,,-27.456,43.386,7.885,0.69293,2022-04-28,Q1-2022,Industrials,-0.3251619020936823,0.1391705160780258,-0.0643254521852282,-0.7531419481119406,0.7006232175934013,0.68034275906082,0.7827906930162333,1.7687547965739796,1.9638937529575975,-0.6063822171945927
6,6,1015,AddLife,Biotechnology,68.787,-11.645,0.714,3235.0,12372.0,0.18658,27330.84,70.613,0.15777,-2347.0,4551.0,-0.13488,-0.36949,-0.0387599999999999,Sweden,Large Cap,ALIF B,30.982,2022-04-28,ALIF-B.ST,0.00896,37.865,3.093,6.005,1.7444499999999998,2022-04-28,Q1-2022,Health Care,-0.5157108327840035,0.2614775299062399,-0.0605633276856188,-0.6845188354942461,0.6193453042465669,0.5312146203183575,0.810893781344593,1.2131393047427903,-2.203280721874878,-3.115271346405868
7,7,7,Addnode,IT Consulting,29.715,336.751,0.943,2309.0,4322.0,0.13997,13133.296,44.691,0.13172,39.0,1693.0,0.12536,0.11891,0.37807,Sweden,Mid Cap,ANOD B,44.267,2022-02-04,ANOD-B.ST,0.00768,58.712,3.221,7.757,0.13201,2022-04-28,Q4-2021,Technology,0.0230360307147076,0.534243405830634,0.0520377123751252,1.0350978285054535,0.4078334606366833,0.3669970504189995,0.4607617741709814,1.1315185114510675,2.1764574823728777,2.037802139784111
8,8,8,Addtech,Industrial Components,61.437,162.52,1.153,4023.0,11321.0,0.2012699999999999,45993.068,50.57,0.23887,283.0,3952.0,0.01566,-0.17353,0.12467,Sweden,Large Cap,ADDT B,37.292,2022-02-08,ADDT-B.ST,0.00712,48.723,3.525,11.638,0.20912,2022-04-28,Q3-2022,Industrials,0.0716093117408906,0.3553573005918205,0.0125581887958863,0.236149605676792,0.4314712136577812,0.3992547863582321,0.4873931555698645,1.4287913432377406,0.1730406880212914,-0.3781499618605204
9,9,2288,Advanced SolTech,Solar Energy,0.86,-5.699,0.067,125.175,1752.905,0.04559,1110.332,73.884,0.03212,-194.818,499.455,-0.2284199999999999,-0.8558,-0.94345,Sweden,First North,ASAB,31.453,2022-02-24,ASAB.ST,,42.917,7.232,2.223,0.39446,2022-04-28,Q4-2021,Utilities,-0.3900611666716722,0.0714100307774808,0.0468099693057307,0.5919598825294119,0.9913764641544354,0.8658165368243205,0.7247458280634844,,-0.7618721400511916,0.2271366935486749
10,10,420,Advenica,Security & Surveillance,0.889,-14.097,0.798,71.909,126.864,-0.47487,543.96,73.98,-0.43004,-38.586,39.571,0.17312,0.2264499999999999,1.18879,Sweden,First North,ADVE,-35.531,2022-02-17,ADVE.ST,,-31.969,5.372,13.746,0.26457,2022-04-28,Q4-2021,Technology,-0.9751080336610144,0.5668195863286669,-0.0484174813640354,-0.7050385024561575,0.7721071624734598,0.7150064704285333,0.6294032809182745,0.9589880868573268,2.8487442485034205,1.0124655128705662
11,11,1700,Africa Energy,Oil & Gas -Exploration,3.864,-36.993,,-22.437,2324.988,0.08471,2909.094,37.315,0.0812,-78.639,2310.398,0.18857,0.0297,0.19816,Sweden,First North,AEC,14.995,2022-03-25,AEC.ST,,15.476,,1.259,0.09509,2022-04-28,Q4-2021,Energy,-0.0340369927605546,-0.0096503723890187,-0.0080038161668949,-0.1889627849074837,0.4394210298620116,0.3845484683033434,0.3882044123266386,1.3527620386527606,2.433822544480813,1.7198559495642185
12,12,258,Africa Oil,Oil & Gas -Exploration,80.107,6.123,0.226,2041.911,8924.562,0.22576,9780.53,70.186,0.20117,1597.446,8532.522,0.4119299999999999,0.52254,1.54635,Sweden,Mid Cap,AOI,4.921,2022-02-08,AOI.ST,0.01087,5.681,4.79,1.146,0.08909,2022-04-28,Q4-2021,Energy,0.1872185035092789,0.2287967745643987,-0.0110827859521627,-0.18988579442967,0.5416753551882645,0.4768116863357693,0.5349289628465566,0.433079724048919,4.224982968386444,1.5444919425460508
13,13,241,AFRY,Business Consultants,44.605,-148.424,0.806,8040.0,25762.0,0.08954,19146.686,34.268,0.09343,-129.0,11419.0,-0.16584,-0.33254,-0.40383,Sweden,Large Cap,AFRY,17.459,2022-04-28,AFRY.ST,0.03254,17.945,0.922,1.677,0.05968,2022-04-28,Q1-2022,Industrials,-0.0112969612050091,0.3120875708407732,-0.0222793513026097,-0.561080583925824,0.2863130177295854,0.2699829291913674,0.3639292347789366,1.573975666362917,-5.36584500327629,-3.542273253209548
14,14,1358,Alcadon Group,Electrical Components,3.266,-129.925,0.944,76.8,817.3,0.12902,1403.188,54.472,0.09791,-10.8,478.7,-0.23611,-0.0856799999999999,0.8668399999999999,Sweden,First North,ALCA,22.026,2022-04-22,ALCA.ST,0.00699,29.593,1.819,2.931,0.3402799999999999,2022-04-28,Q1-2022,Industrials,-0.0225611029872571,0.0939679432277009,0.0886510201650537,1.4991514945778202,0.4929908045648294,0.4434671540979092,0.5419732586209649,1.6414744763883284,4.3739875381594935,0.8053157604687152
15,15,10,Alfa Laval,Industrial Components,335.694,4739.597,0.576,15219.0,73874.0,0.14484,113750.325,38.192,0.13368,24.0,33930.0,-0.11398,-0.25978,-0.07597,Sweden,Large Cap,ALFA,19.833,2022-04-26,ALFA.ST,0.0218699999999999,24.88,2.673,3.352,0.15895,2022-04-28,Q1-2022,Industrials,0.0007073386383731,0.2060129409535154,-0.0984673866278724,-2.624910092859834,0.3145476235806914,0.2754729629219799,0.3438093014569419,1.369246824670436,2.395534293787616,-0.6206509722456793
16,16,739,Alimak,Installation,11.294,11.851,0.648,1311.5,5889.0,0.09907,5664.927,29.229,0.07937,478.0,3969.0,0.00192,-0.11804,-0.28159,Sweden,Mid Cap,ALIG,13.093,2022-04-27,ALIG.ST,0.0315499999999999,17.984,1.484,1.427,0.038,2022-04-28,Q1-2022,Industrials,0.1204333585285966,0.2227033452199015,0.0163290152566281,0.4646774670090132,0.2656690465427178,0.2474855543976612,0.3220683323391519,1.1595054436669543,0.0038892818706335,2.6124677758405888
17,17,1477,Alligo,Industrial Components,3.691,17.508,1.215,3888.0,7671.0,0.09498,6057.814,71.227,0.13346,346.0,3055.0,-0.40381,-0.44131,-0.35466,Sweden,Mid Cap,ALLIGO B,16.028,2022-04-28,ALLIGO-B.ST,0.01471,14.848,0.647,1.983,-0.05296,2022-04-28,Q1-2022,Industrials,0.1132569558101473,0.5068439577630035,-0.0164451058070909,-0.158491687453011,0.5699708255264029,0.4551950538617483,0.9509765891652162,1.326347487146612,-2.7027875298963107,-2.754286131310496
18,18,1419,Ambea,Healthcare Facilities,13.829,5.065,0.688,9849.0,16674.0,0.04847,4811.325,38.383,0.05232,950.0,4530.0,-0.0107,-0.16571,-0.36278,Sweden,Mid Cap,AMBEA,24.469,2022-02-09,AMBEA.ST,0.02262,20.262,0.412,1.062,0.1329,2022-04-28,Q4-2021,Health Care,0.2097130242825607,0.5906801007556675,-0.057455943259034,-1.4244196194597705,0.3696439328738785,0.3360646708933212,0.3696891077777623,1.3033494039739335,-1.1902850089264376,1.5740148509338296
19,19,505,AQ Group,Industrial Components,2.446,-16.065,1.181,2832.0,4920.0,0.13523,5076.585,40.158,0.127,-316.0,2743.0,-0.0625,-0.02289,-0.25113,Sweden,Mid Cap,AQ,12.979,2022-04-21,AQ.ST,0.012,14.505,0.852,1.851,0.1725499999999999,2022-04-28,Q1-2022,Industrials,-0.1152023332118118,0.5756097560975609,-0.0081528865348912,-0.1860751504802654,0.3621009974182866,0.3499979355019481,0.4015712961359408,1.5353924215919783,-1.570012135374828,3.20587646257972
20,20,296,Arcane Crypto,Internet Transactions,2.105,-5.079,1.835,27.788,181.044,-0.25819,637.077,85.696,-1.0973,-125.433,148.948,-0.4008,-0.65,-0.68857,Sweden,First North,ARCANE,-18.351,2022-02-25,ARCANE.ST,,-3.901,1.915,4.277,68.10076,2022-04-28,Q4-2021,Technology,-0.8421261111260305,0.1534875499878482,0.020039413201139,0.203694205483506,0.9511710074673452,0.841775850233219,0.9016665708161526,2.489035491382174,-4.729893420620575,-6.560277165163956
